MANDT [C(00006)]`KTOPL [C(00008)]`HKONT [C(00020)]`WAERS [C(00010)]`CURTP [C(00004)]`LKORR [C(00020)]`LSREA [C(00020)]`LHREA [C(00020)]`LSTRA [C(00020)]`LHTRA [C(00020)]`LSBEW [C(00020)]`LHBEW [C(00020)]`LSTRV [C(00020)]`LHTRV [C(00020)]
400`  BKMG`  0001011000`  `  `  `  0005102100`  0004101200`  `  `  `  `  `
400`  BKMG`  0001011100`  `  `  `  0005102100`  0004101200`  `  `  `  `  `
400`  BKMG`  0001021000`  `  `  `  0005102100`  0004101200`  `  `  `  `  `
400`  BKMG`  0001061000`  `  `  `  0005102100`  0004101200`  `  `  `  `  `
400`  BKMG`  0002021000`  `  `  `  0005102100`  0004101200`  `  `  `  `  `
400`  CABE`  0000400000`  `  `  0000400080`  0000654000`  0000754000`  `  `  0000655000`  0000755000`  `
400`  CABE`  0000440000`  `  `  0000440080`  0000654000`  0000754000`  `  `  0000655000`  0000755000`  `
400`  CACH`  0000011000`  `  `  0000011090`  0000068420`  0000068920`  0000068460`  0000068960`  0000068431`  0000068931`  0000068960`  0000068460
400`  CACH`  0000011001`  `  `  0000011090`  0000068420`  0000068920`  0000068460`  0000068960`  0000068431`  0000068931`  0000068960`  0000068460
400`  CACH`  0000011010`  `  `  0000011095`  0000068420`  0000068920`  0000068460`  0000068960`  0000068431`  0000068931`  0000068960`  0000068460
400`  CACH`  0000011011`  `  `  0000011095`  0000068420`  0000068920`  0000068460`  0000068960`  0000068431`  0000068931`  0000068960`  0000068460
400`  CACH`  0000020000`  `  `  0000020000`  0000068420`  0000068920`  0000068460`  0000068960`  0000068431`  0000068931`  0000068960`  0000068460
400`  CACH`  0000020001`  `  `  0000020001`  0000068420`  0000068920`  0000068460`  0000068960`  0000068431`  0000068931`  0000068960`  0000068460
400`  CACH`  0000020010`  `  `  0000020010`  0000068420`  0000068920`  0000068460`  0000068960`  0000068431`  0000068931`  0000068960`  0000068460
