USERALIAS [C(00080)]`REFUSER [C(00024)]`BNAME [C(00024)]`MANDT [C(00006)]
`  `  SAP172`  400
`  `  SAP173`  400
`  `  SAP174`  400
`  `  SAP175`  400
`  `  SAP176`  400
`  `  SAP177`  400
`  `  SAP178`  400
`  `  SAP179`  400
`  `  SAP180`  400
`  `  SAP181`  400
`  `  SAP182`  400
`  `  SAP183`  400
`  `  SAP184`  400
`  `  SAP185`  400
`  `  SAP186`  400
`  `  SAP187`  400
`  `  SAP188`  400
`  `  SAP189`  400
`  `  SAP190`  400
`  `  SAP238`  400
`  `  SAP192`  400
`  `  SAP193`  400
`  `  SAP194`  400
`  `  SAP195`  400
`  `  SAP196`  400
`  `  MDGTR@S4H`  400
`  `  SAP197`  400
`  `  SAP198`  400
`  `  SAP199`  400
`  `  SAP200`  400
`  `  SAP201`  400
`  `  SAP202`  400
`  `  SAP203`  400
`  `  SAP204`  400
`  `  SAP205`  400
`  `  SAP206`  400
`  `  SAP207`  400
`  `  SAP208`  400
`  `  SAP209`  400
`  `  SAP210`  400
`  `  SAP211`  400
`  `  SAP212`  400
`  `  SAP213`  400
`  `  SAP214`  400
`  `  SAP215`  400
`  `  SAP216`  400
`  `  SAP217`  400
`  `  SAP218`  400
`  `  SAP219`  400
`  `  SAP220`  400
`  `  SAP221`  400
`  `  SAP222`  400
`  `  SAP223`  400
`  `  SAP224`  400
`  `  SAP225`  400
`  `  SAP226`  400
`  `  SAP227`  400
`  `  SAP228`  400
`  `  SAP229`  400
`  `  SAP230`  400
`  `  SAP231`  400
`  `  SAP232`  400
`  `  SAP233`  400
`  `  SAP234`  400
`  `  SAP235`  400
`  `  SAP236`  400
`  `  SAP239`  400
`  `  SAP240`  400
`  `  SAP241`  400
`  `  SAP242`  400
`  `  DENGD`  400
`  `  SAP243`  400
`  `  SAP148`  400
`  `  SAP244`  400
`  `  SAP245`  400
`  `  SAP246`  400
`  `  SAP247`  400
`  `  SAP248`  400
`  `  SAP249`  400
`  `  SAP250`  400
`  `  SAP251`  400
`  `  SAP252`  400
`  `  SAP253`  400
`  `  SAP254`  400
`  `  SAP255`  400
`  `  SAP256`  400
`  `  SAP257`  400
`  `  SAP258`  400
`  `  SAP259`  400
`  `  SAP260`  400
456`  `  SAP261`  400
`  `  SAP262`  400
`  `  SAP263`  400
`  `  SAP264`  400
`  `  SAP265`  400
`  `  SAP266`  400
`  `  SAP267`  400
`  `  SAP268`  400
`  `  SAP269`  400
`  `  SAP277`  400
`  `  SAP278`  400
`  `  SAP279`  400
`  `  SAP280`  400
`  `  SAP281`  400
`  `  SAP282`  400
`  `  SAP283`  400
`  `  SAP284`  400
`  `  SAP285`  400
`  `  SAP286`  400
`  `  SAP287`  400
`  `  SAP288`  400
`  `  SAP289`  400
`  `  SAP290`  400
`  `  SAP291`  400
`  `  SAP292`  400
`  `  SAP293`  400
`  `  SAP294`  400
`  `  SAP295`  400
`  `  SAP296`  400
`  `  SAP297`  400
`  `  SAP298`  400
`  `  SAP299`  400
`  `  SAP300`  400
`  `  SAP301`  400
`  `  SAP302`  400
`  `  SAP303`  400
`  `  SAP304`  400
`  `  SAP305`  400
`  `  SAP306`  400
`  `  SAP307`  400
`  `  SAP308`  400
`  `  SAP309`  400
`  `  SAP310`  400
`  `  SAP311`  400
`  `  SAP312`  400
`  `  SAP313`  400
`  `  SAP314`  400
`  `  SAP315`  400
`  `  SAP316`  400
`  `  SAP317`  400
`  `  SAP318`  400
`  `  SAP319`  400
`  `  SAP320`  400
`  `  SAP321`  400
`  `  SAP322`  400
`  `  SAP323`  400
`  `  SAP324`  400
`  `  SAP325`  400
`  `  SAP326`  400
`  `  SAP327`  400
`  `  SAP328`  400
`  `  SAP329`  400
`  `  SAP330`  400
`  `  SAP331`  400
`  `  SAP332`  400
`  `  SAP333`  400
`  `  SAP334`  400
`  `  SAP335`  400
`  `  SAP336`  400
`  `  SAP337`  400
`  `  SAP338`  400
`  `  SAP339`  400
`  `  SAP340`  400
`  `  SAP341`  400
`  `  SAP342`  400
`  `  SAP343`  400
`  `  SAP344`  400
`  `  SAP345`  400
`  `  SAP346`  400
`  `  SAP347`  400
`  `  ZHOURONG`  400
`  `  SHAMAN478`  400
`  `  SAP348`  400
`  `  SAP349`  400
`  `  SAP350`  400
`  `  SAP351`  400
`  `  SAP352`  400
`  `  SAP353`  400
`  `  SAP354`  400
`  `  SAP355`  400
`  `  SAP356`  400
`  `  SAP357`  400
`  `  SAP358`  400
`  `  SAP359`  400
`  `  SAP360`  400
`  `  SAP361`  400
`  `  SAP362`  400
`  `  SAP363`  400
`  `  SAP364`  400
`  `  SAP365`  400
`  `  SAP366`  400
`  `  SAP367`  400
`  `  SAP368`  400
`  `  SAP369`  400
`  `  SAP370`  400
`  `  SAP371`  400
`  `  SAP372`  400
`  `  SAP373`  400
`  `  WANGY`  400
`  `  SAP375`  400
`  `  SHT01`  400
`  `  SHT02`  400
`  `  SHT03`  400
`  `  SHT04`  400
`  `  SHT05`  400
`  `  SHT06`  400
`  `  SHT07`  400
`  `  SHT08`  400
`  `  SHT09`  400
`  `  SHT10`  400
`  `  SHT11`  400
`  `  SHT12`  400
`  `  SHT13`  400
`  `  SHT14`  400
`  `  SHT15`  400
`  `  SAP376`  400
`  `  SAP377`  400
`  `  SAP378`  400
`  `  SAP379`  400
`  `  SAP380`  400
`  `  SAP381`  400
`  `  SAP382`  400
`  `  SAP383`  400
`  `  SAP384`  400
`  `  SAP385`  400
`  `  SAP386`  400
`  `  SAP387`  400
`  `  SAP388`  400
`  `  SAP389`  400
`  `  SAP390`  400
`  `  SAP391`  400
`  `  SAP392`  400
`  `  SAP397`  400
`  `  SAP394`  400
`  `  SAP395`  400
`  `  SAP398`  400
`  `  SAP399`  400
`  `  SAP400`  400
`  `  SAP401`  400
`  `  SAP402`  400
`  `  SAP393`  400
`  `  SAP396`  400
`  `  SAP403`  400
`  `  SAP404`  400
`  `  SAP405`  400
`  `  SAP406`  400
`  `  SAP407`  400
`  `  SAP408`  400
`  `  SAP409`  400
`  `  SAP410`  400
`  `  SAP411`  400
`  `  SAP412`  400
`  `  SAP413`  400
`  `  SAP414`  400
`  `  SAP415`  400
`  `  SAP416`  400
`  `  SAP417`  400
`  `  SAP418`  400
`  `  SAP419`  400
`  `  SAP420`  400
`  `  SAP421`  400
`  `  SAP422`  400
`  `  SAP423`  400
`  `  SAP424`  400
`  `  SAP425`  400
`  `  SAP426`  400
`  `  SAP427`  400
`  `  SAP428`  400
`  `  SAP429`  400
`  `  SAP430`  400
`  `  SAP431`  400
`  `  SAP432`  400
`  `  SAP433`  400
`  `  SAP434`  400
`  `  SAP435`  400
`  `  SAP436`  400
`  `  SAP437`  400
`  `  SAP438`  400
`  `  SAP439`  400
`  `  SAP440`  400
`  `  SAP441`  400
`  `  SAP442`  400
`  `  SAP443`  400
`  `  SAP444`  400
`  `  SAP445`  400
`  `  SAP446`  400
`  `  SAP447`  400
`  `  SAP448`  400
`  `  SAP449`  400
`  `  SAP450`  400
`  `  SAP451`  400
`  `  SAP452`  400
`  `  SAP453`  400
`  `  SAP454`  400
`  `  SAP455`  400
`  `  SAP456`  400
`  `  ZHAOYF`  400
`  `  ALBERT`  400
`  `  SAP457`  400
`  `  SAP458`  400
`  `  SAP459`  400
`  `  NINGSQ`  400
`  `  SAP460`  400
`  `  SAP461`  400
`  `  SAP462`  400
`  `  SAP463`  400
`  `  SAP464`  400
`  `  SAP465`  400
`  `  SAP466`  400
`  `  SAP467`  400
`  `  SAP468`  400
`  `  SAP469`  400
`  `  SAP470`  400
`  `  SAP471`  400
`  `  SAP472`  400
`  `  SAP473`  400
`  `  SAP474`  400
`  `  SAP475`  400
`  `  SAP476`  400
`  `  SAP477`  400
`  `  SAP478`  400
`  `  SAP479`  400
`  `  SAP480`  400
`  `  SAP481`  400
`  `  SAP482`  400
`  `  SAP483`  400
`  `  SAP484`  400
`  `  SAP485`  400
`  `  SAP486`  400
`  `  SAP487`  400
`  `  SAP488`  400
`  `  SAP489`  400
`  `  SAP490`  400
`  `  SAP491`  400
`  `  SAP492`  400
`  `  SAP493`  400
`  `  SAP494`  400
`  `  SAP495`  400
`  `  SAP496`  400
`  `  SAP497`  400
`  `  SAP498`  400
`  `  SAP499`  400
`  `  SAP500`  400
`  `  SAP501`  400
`  `  SAP502`  400
`  `  SAP503`  400
`  `  SAP504`  400
`  `  SAP505`  400
`  `  SAP506`  400
`  `  SAP507`  400
`  `  SAP508`  400
`  `  SAP509`  400
`  `  SAP510`  400
`  `  SAP511`  400
`  `  SAP512`  400
`  `  SAP513`  400
`  `  SAP514`  400
