CLIENT [C(00006)]`OBJECT [C(00020)]`SUBOBJECT [C(00012)]`NRRANGENR [C(00004)]`TOYEAR [C(00008)]`FROMNUMBER [C(00040)]`TONUMBER [C(00040)]`NRLEVEL [C(00040)]`EXTERNIND [C(00002)]
400`  ANLAGENNR`  1510`  04`  0000`  000040000000`  000049999999`  00000000000000000000`
400`  ANLAGENNR`  1510`  05`  0000`  000050000000`  000059999999`  00000000000000000000`
400`  ANLAGENNR`  1510`  06`  0000`  000060000000`  000069999999`  00000000000000000000`
400`  ANLAGENNR`  1510`  07`  0000`  000070000000`  000079999999`  00000000000000000000`
400`  ANLAGENNR`  1510`  08`  0000`  000080000000`  000089999999`  00000000000000000000`
400`  ANLAGENNR`  1510`  09`  0000`  000090000000`  000099999999`  00000000000000000000`
400`  ANLAGENNR`  1510`  90`  0000`  A`  D`  00000000000000000000`  X
400`  ANLAGENNR`  1510`  99`  0000`  000000000001`  000009999999`  00000000000000000000`  X
400`  ANLAGENNR`  1610`  01`  0000`  000010000000`  000019999999`  00000000000000000000`
400`  ANLAGENNR`  1610`  02`  0000`  000020000000`  000029999999`  00000000000000000000`
400`  ANLAGENNR`  1610`  03`  0000`  000030000000`  000039999999`  00000000000000000000`
400`  ANLAGENNR`  1610`  05`  0000`  000050000000`  000059999999`  00000000000000000000`
400`  ANLAGENNR`  1610`  06`  0000`  000060000000`  000069999999`  00000000000000000000`
400`  ANLAGENNR`  1610`  07`  0000`  000070000000`  000079999999`  00000000000000000000`
400`  ANLAGENNR`  1610`  08`  0000`  000080000000`  000089999999`  00000000000000000000`
400`  ANLAGENNR`  1610`  09`  0000`  000090000000`  000099999999`  00000000000000000000`
400`  ANLAGENNR`  1610`  90`  0000`  A`  D`  00000000000000000000`  X
400`  ANLAGENNR`  1610`  99`  0000`  000000000001`  000009999999`  00000000000000000000`  X
400`  ANLAGENNR`  1710`  01`  0000`  000010000000`  000019999999`  00000000000000000000`
400`  ANLAGENNR`  1710`  02`  0000`  000020000000`  000029999999`  00000000000000000000`
400`  ANLAGENNR`  1710`  03`  0000`  000030000000`  000039999999`  00000000000000000000`
400`  ANLAGENNR`  1710`  04`  0000`  000040000000`  000049999999`  00000000000000000000`
400`  ANLAGENNR`  1710`  05`  0000`  000050000000`  000059999999`  00000000000000000000`
400`  ANLAGENNR`  1710`  06`  0000`  000060000000`  000069999999`  00000000000000000000`
400`  ANLAGENNR`  1710`  07`  0000`  000070000000`  000079999999`  00000000000000000000`
400`  ANLAGENNR`  1710`  08`  0000`  000080000000`  000089999999`  00000000000000000000`
400`  ANLAGENNR`  1710`  09`  0000`  000090000000`  000099999999`  00000000000000000000`
400`  ANLAGENNR`  1710`  90`  0000`  A`  D`  00000000000000000000`  X
400`  ANLAGENNR`  1710`  99`  0000`  000000000001`  000009999999`  00000000000000000000`  X
400`  ANLAGENNR`  1810`  01`  0000`  000010000000`  000019999999`  00000000000000000000`
400`  ANLAGENNR`  1810`  02`  0000`  000020000000`  000029999999`  00000000000000000000`
400`  ANLAGENNR`  1810`  03`  0000`  000030000000`  000039999999`  00000000000000000000`
400`  ANLAGENNR`  1810`  04`  0000`  000040000000`  000049999999`  00000000000000000000`
400`  ANLAGENNR`  1810`  05`  0000`  000050000000`  000059999999`  00000000000000000000`
400`  ANLAGENNR`  1810`  06`  0000`  000060000000`  000069999999`  00000000000000000000`
400`  ANLAGENNR`  1810`  07`  0000`  000070000000`  000079999999`  00000000000000000000`
400`  ANLAGENNR`  1810`  08`  0000`  000080000000`  000089999999`  00000000000000000000`
400`  ANLAGENNR`  1810`  09`  0000`  000090000000`  000099999999`  00000000000000000000`
400`  ANLAGENNR`  1810`  90`  0000`  A`  D`  00000000000000000000`  X
400`  ANLAGENNR`  1810`  99`  0000`  000000000001`  000009999999`  00000000000000000000`  X
400`  ANLAGENNR`  1910`  01`  0000`  000010000000`  000019999999`  00000000000000000000`
400`  ANLAGENNR`  1910`  02`  0000`  000020000000`  000029999999`  00000000000000000000`
400`  ANLAGENNR`  1910`  03`  0000`  000030000000`  000039999999`  00000000000000000000`
400`  ANLAGENNR`  1910`  04`  0000`  000040000000`  000049999999`  00000000000000000000`
400`  ANLAGENNR`  1910`  05`  0000`  000050000000`  000059999999`  00000000000000000000`
400`  ANLAGENNR`  1910`  06`  0000`  000060000000`  000069999999`  00000000000000000000`
400`  ANLAGENNR`  1910`  07`  0000`  000070000000`  000079999999`  00000000000000000000`
400`  ANLAGENNR`  1910`  08`  0000`  000080000000`  000089999999`  00000000000000000000`
400`  ANLAGENNR`  1910`  09`  0000`  000090000000`  000099999999`  00000000000000000000`
400`  ANLAGENNR`  1910`  90`  0000`  A`  D`  00000000000000000000`  X
400`  ANLAGENNR`  1910`  99`  0000`  000000000001`  000009999999`  00000000000000000000`  X
400`  ANLAGENNR`  2018`  01`  0000`  000010000000`  000019999999`  00000000000010000003`
400`  ANLAGENNR`  2018`  02`  0000`  000020000000`  000029999999`  00000000000020000004`
400`  ANLAGENNR`  2018`  03`  0000`  000030000000`  000039999999`  00000000000000000000`
400`  ANLAGENNR`  2018`  04`  0000`  000040000000`  000049999999`  00000000000040000003`
400`  ANLAGENNR`  2018`  05`  0000`  000050000000`  000059999999`  00000000000000000000`
400`  ANLAGENNR`  2018`  06`  0000`  000060000000`  000069999999`  00000000000060000002`
400`  ANLAGENNR`  2018`  07`  0000`  000070000000`  000079999999`  00000000000000000000`
400`  ANLAGENNR`  2018`  08`  0000`  000080000000`  000089999999`  00000000000000000000`
400`  ANLAGENNR`  2018`  09`  0000`  000090000000`  000099999999`  00000000000000000000`
400`  ANLAGENNR`  2018`  90`  0000`  A`  D`  00000000000000000000`  X
400`  ANLAGENNR`  2018`  99`  0000`  000000000001`  000009999999`  00000000000000000000`  X
400`  ANLAGENNR`  2110`  01`  0000`  000010000000`  000019999999`  00000000000000000000`
400`  ANLAGENNR`  2110`  02`  0000`  000020000000`  000029999999`  00000000000000000000`
400`  ANLAGENNR`  2110`  03`  0000`  000030000000`  000039999999`  00000000000000000000`
400`  ANLAGENNR`  2110`  04`  0000`  000040000000`  000049999999`  00000000000000000000`
400`  ANLAGENNR`  2110`  05`  0000`  000050000000`  000059999999`  00000000000000000000`
400`  ANLAGENNR`  2110`  06`  0000`  000060000000`  000069999999`  00000000000000000000`
400`  ANLAGENNR`  2110`  07`  0000`  000070000000`  000079999999`  00000000000000000000`
400`  ANLAGENNR`  2110`  08`  0000`  000080000000`  000089999999`  00000000000000000000`
400`  ANLAGENNR`  2110`  09`  0000`  000090000000`  000099999999`  00000000000000000000`
400`  ANLAGENNR`  2110`  90`  0000`  A`  D`  00000000000000000000`  X
400`  ANLAGENNR`  2110`  99`  0000`  000000000001`  000009999999`  00000000000000000000`  X
400`  ANLAGENNR`  2210`  01`  0000`  000010000000`  000019999999`  00000000000000000000`
400`  ANLAGENNR`  2210`  02`  0000`  000020000000`  000029999999`  00000000000000000000`
400`  ANLAGENNR`  2210`  03`  0000`  000030000000`  000039999999`  00000000000000000000`
400`  ANLAGENNR`  2210`  04`  0000`  000040000000`  000049999999`  00000000000000000000`
400`  ANLAGENNR`  2210`  05`  0000`  000050000000`  000059999999`  00000000000000000000`
400`  ANLAGENNR`  2210`  06`  0000`  000060000000`  000069999999`  00000000000000000000`
400`  ANLAGENNR`  2210`  07`  0000`  000070000000`  000079999999`  00000000000000000000`
400`  ANLAGENNR`  2210`  08`  0000`  000080000000`  000089999999`  00000000000000000000`
400`  ANLAGENNR`  2210`  09`  0000`  000090000000`  000099999999`  00000000000000000000`
400`  ANLAGENNR`  2210`  90`  0000`  A`  D`  00000000000000000000`  X
400`  ANLAGENNR`  2210`  99`  0000`  000000000001`  000009999999`  00000000000000000000`  X
400`  ANLAGENNR`  2301`  01`  0000`  000010000000`  000019999999`  00000000000000000000`
400`  ANLAGENNR`  2301`  02`  0000`  000020000000`  000029999999`  00000000000020000000`
400`  ANLAGENNR`  2301`  03`  0000`  000030000000`  000039999999`  00000000000000000000`
400`  ANLAGENNR`  2301`  04`  0000`  000040000000`  000049999999`  00000000000000000000`
400`  ANLAGENNR`  2301`  05`  0000`  000050000000`  000059999999`  00000000000000000000`
400`  ANLAGENNR`  2301`  06`  0000`  000060000000`  000069999999`  00000000000000000000`
400`  ANLAGENNR`  2301`  07`  0000`  000070000000`  000079999999`  00000000000000000000`
