AREA [C(00004)]`SUBID [C(00002)]`CLASID [C(00002)]`SUBCLASID [I(00004)]`SEVERITY [I(00004)]`MONBEW [C(00004)]`MONKAT [C(00004)]
A0`  0`  X`  0 `  50 `  WH`  BS
A0`  1`  T`  0 `  50 `  RA`  BS
A0`  2`  S`  0 `  50 `  RA`  BS
A0`  3`  S`  0 `  50 `  RA`  BS
A0`  4`  W`  0 `  50 `  YA`  BS
A0`  5`  T`  0 `  50 `  RA`  BS
A0`  6`  T`  0 `  50 `  RA`  BS
A0`  7`  T`  0 `  50 `  RA`  BS
A0`  8`  K`  0 `  50 `  RA`  BS
A0`  9`  K`  0 `  50 `  RA`  BS
A1`  0`  S`  0 `  50 `  GR`  BS
A1`  1`  S`  0 `  50 `  RA`  BS
A1`  2`  W`  0 `  50 `  YA`  BS
A1`  3`  X`  0 `  50 `  WH`  BS
A1`  4`  S`  0 `  50 `  WH`  BS
A1`  5`  T`  0 `  50 `  RA`  BS
A1`  6`  T`  0 `  50 `  RA`  BS
A1`  7`  X`  0 `  50 `  WH`  BS
A1`  8`  S`  0 `  50 `  RA`  BS
A1`  9`  S`  0 `  50 `  RA`  BS
A2`  0`  X`  0 `  50 `  WH`  BS
A2`  1`  W`  0 `  50 `  YA`  BS
A2`  2`  W`  0 `  50 `  YE`  BS
A2`  3`  S`  0 `  50 `  YA`  BV
A2`  4`  S`  0 `  50 `  YE`  BV
A2`  5`  K`  0 `  50 `  YE`  BS
A2`  6`  S`  0 `  50 `  RE`  BS
A2`  7`  S`  0 `  50 `  YE`  BV
A2`  8`  S`  0 `  50 `  WH`  BV
A2`  9`  S`  0 `  100 `  YA`  BV
A3`  0`  S`  0 `  50 `  RA`  BV
A3`  1`  K`  0 `  0 `  RE`  BS
A3`  3`  S`  0 `  0 `  RE`  BV
A3`  4`  S`  0 `  0 `  YE`  BV
A3`  5`  `  0 `  0 `  YE`  SH
A3`  6`  `  0 `  0 `  YE`  SH
AB`  0`  T`  0 `  50 `  RA`  BS
AB`  1`  K`  0 `  50 `  WH`  BS
AB`  2`  X`  0 `  50 `  WH`  BS
AB`  3`  X`  0 `  50 `  RA`  BS
AB`  4`  S`  0 `  50 `  RA`  BS
AB`  5`  K`  0 `  50 `  RA`  BS
AB`  6`  S`  0 `  50 `  RA`  BS
AB`  7`  K`  0 `  50 `  RA`  BS
AB`  8`  K`  0 `  50 `  YE`  BS
AB`  9`  K`  0 `  50 `  RE`  BS
AB`  D`  S`  0 `  0 `  WH`  BS
AC`  0`  T`  0 `  2 `  GR`  SD
AC`  1`  `  0 `  0 `  RE`  BS
AD`  0`  W`  0 `  50 `  WH`  BS
AD`  1`  W`  0 `  50 `  WH`  BS
AD`  2`  W`  0 `  50 `  WH`  BS
AD`  3`  W`  0 `  50 `  WH`  BS
AD`  4`  W`  0 `  50 `  WH`  BS
AD`  5`  W`  0 `  50 `  WH`  BS
AD`  6`  W`  0 `  50 `  WH`  BS
AL`  1`  K`  0 `  50 `  RA`  AW
AS`  0`  S`  0 `  50 `  GR`  KO
AS`  1`  W`  0 `  50 `  YE`  KO
AS`  2`  T`  0 `  50 `  RE`  KO
AS`  3`  S`  0 `  50 `  GR`  KO
AS`  4`  W`  0 `  50 `  YE`  KO
AS`  5`  T`  0 `  50 `  RE`  KO
AS`  6`  S`  0 `  50 `  WH`  KO
AT`  0`  `  0 `  0 `  WH`  AW
AT`  1`  `  0 `  0 `  WH`  AW
AU`  0`  X`  1 `  2 `  GR`  SH
AU`  1`  X`  2 `  5 `  YE`  SH
AU`  2`  X`  2 `  9 `  RE`  SH
AU`  3`  X`  4 `  2 `  GR`  SH
AU`  4`  X`  4 `  9 `  RE`  SH
AU`  5`  X`  16 `  2 `  GR`  SH
AU`  6`  X`  16 `  9 `  RE`  SH
AU`  7`  X`  32 `  9 `  RE`  SH
AU`  8`  X`  32 `  5 `  YE`  SH
AU`  9`  X`  32 `  5 `  YE`  SH
AU`  A`  X`  32 `  5 `  YE`  SH
AU`  B`  X`  32 `  5 `  YE`  SH
AU`  C`  X`  2 `  2 `  GR`  SH
AU`  D`  X`  32 `  5 `  YE`  SH
AU`  E`  X`  64 `  9 `  RE`  SH
AU`  F`  X`  64 `  9 `  RE`  SH
AU`  G`  X`  64 `  9 `  RE`  SH
AU`  H`  X`  64 `  9 `  RE`  SH
AU`  I`  X`  64 `  9 `  RE`  SH
AU`  J`  X`  64 `  9 `  RA`  SH
AU`  K`  X`  128 `  2 `  GR`  SH
AU`  L`  X`  128 `  9 `  RE`  SH
AU`  M`  X`  2 `  9 `  RA`  SH
AU`  N`  X`  2 `  9 `  RE`  SH
AU`  O`  X`  2 `  5 `  YE`  SH
AU`  P`  X`  4 `  5 `  YE`  SH
AU`  Q`  X`  4 `  5 `  YE`  SH
AU`  R`  X`  32 `  5 `  YE`  SH
AU`  S`  X`  32 `  5 `  YE`  SH
AU`  T`  X`  32 `  5 `  YE`  SH
AU`  U`  X`  32 `  9 `  RE`  SH
AU`  V`  X`  1 `  9 `  RE`  TP
AU`  W`  X`  8 `  2 `  GR`  SH
AU`  X`  X`  8 `  5 `  YE`  SH
AU`  Y`  X`  1 `  5 `  YE`  SH
AU`  Z`  X`  1 `  5 `  YE`  SH
AV`  1`  K`  0 `  2 `  WH`  SH
AV`  2`  K`  0 `  2 `  RA`  SH
AV`  3`  K`  0 `  2 `  YA`  SH
AV`  4`  K`  0 `  50 `  RE`  SH
AV`  5`  K`  0 `  50 `  RA`  SH
AV`  6`  K`  0 `  50 `  WH`  SH
AV`  7`  K`  0 `  50 `  YE`  SH
AV`  8`  K`  0 `  50 `  YA`  SH
AV`  9`  K`  0 `  40 `  YA`  SH
AV`  A`  K`  0 `  50 `  YA`  SH
AV`  Z`  W`  0 `  0 `  RE`  SH
AW`  1`  X`  0 `  50 `  RA`  AW
B6`  3`  K`  0 `  100 `  RA`  DB
B6`  6`  K`  0 `  100 `  RA`  DB
B6`  7`  K`  0 `  100 `  RA`  DB
B6`  8`  K`  0 `  100 `  RA`  DB
B6`  9`  K`  0 `  100 `  RA`  DB
B6`  A`  K`  0 `  100 `  RA`  DB
B6`  B`  S`  0 `  50 `  GR`  DB
B6`  C`  S`  0 `  50 `  GR`  DB
BA`  0`  S`  0 `  50 `  GR`  DB
BA`  1`  S`  0 `  50 `  GR`  DB
BA`  2`  S`  0 `  50 `  GR`  DB
BA`  3`  S`  0 `  50 `  GR`  DB
BA`  4`  S`  0 `  50 `  GR`  DB
BB`  0`  S`  0 `  50 `  GR`  BS
BB`  1`  S`  0 `  50 `  GR`  BS
BB`  2`  W`  0 `  50 `  YE`  BS
BB`  3`  K`  0 `  100 `  RA`  DB
BB`  4`  S`  0 `  50 `  GR`  BS
BB`  5`  K`  0 `  100 `  RA`  BS
BB`  6`  S`  0 `  50 `  GR`  BS
BB`  7`  K`  0 `  100 `  YA`  DB
BB`  8`  S`  0 `  100 `  YA`  BS
BB`  9`  S`  0 `  100 `  YA`  BV
BB`  A`  K`  0 `  50 `  YE`  DB
BB`  B`  W`  0 `  50 `  YE`  BS
BB`  C`  K`  0 `  100 `  YA`  DB
BB`  D`  S`  0 `  50 `  GR`  BS
BB`  E`  S`  0 `  100 `  YA`  BS
BB`  F`  K`  0 `  50 `  YE`  BS
BB`  G`  K`  0 `  100 `  RA`  BS
BB`  H`  K`  0 `  100 `  YA`  DB
BD`  0`  X`  0 `  50 `  GR`  AW
