BUKRS [C(00008)]`FNAME [C(00122)]`KOART [C(00002)]`UMSKS [C(00002)]`XAEND [C(00002)]`XAUSZ [C(00002)]`XBUPE [C(00002)]`MANDT [C(00006)]
`  BKPF-AEDAT`  `  `  `  `  `  400
`  BKPF-BKTXT`  `  `  X`  `  `  400
HXGS`  BKPF-BKTXT`  `  `  X`  `  `  400
LIU1`  BKPF-BKTXT`  `  `  `  `  `  400
SAPA`  BKPF-BKTXT`  `  `  X`  `  `  400
TAKU`  BKPF-BKTXT`  `  `  X`  `  `  400
XXGS`  BKPF-BKTXT`  `  `  X`  `  `  400
SAPA`  BKPF-BLDAT`  `  `  X`  `  `  400
1610`  BKPF-REINDAT`  `  `  X`  `  `  400
2610`  BKPF-REINDAT`  `  `  X`  `  `  400
HXGS`  BKPF-REINDAT`  `  `  X`  `  `  400
TAKU`  BKPF-REINDAT`  `  `  X`  `  `  400
XXGS`  BKPF-REINDAT`  `  `  X`  `  `  400
1610`  BKPF-VATDATE`  `  `  X`  `  `  400
2410`  BKPF-VATDATE`  `  `  X`  `  `  400
2610`  BKPF-VATDATE`  `  `  X`  `  `  400
`  BKPF-XBLNR`  `  `  X`  `  `  400
1210`  BKPF-XBLNR`  `  `  `  `  `  400
CM02`  BKPF-XBLNR`  `  `  X`  `  `  400
LIU1`  BKPF-XBLNR`  `  `  `  `  `  400
`  BSEG-SGTXT`  A`  `  X`  `  `  400
`  BSEG-ZUONR`  A`  `  X`  `  `  400
`  BSEC-BANKL`  D`  `  X`  X`  `  400
`  BSEC-BANKN`  D`  `  X`  X`  `  400
`  BSEC-BANKS`  D`  `  X`  X`  `  400
`  BSEC-BKONT`  D`  `  X`  X`  `  400
`  BSEC-DTAMS`  D`  `  X`  X`  `  400
`  BSEC-DTAWS`  D`  `  X`  X`  `  400
`  BSEC-LAND1`  D`  `  X`  X`  `  400
`  BSEC-NAME1`  D`  `  X`  X`  `  400
`  BSEC-NAME2`  D`  `  X`  X`  `  400
`  BSEC-NAME3`  D`  `  X`  X`  `  400
`  BSEC-NAME4`  D`  `  X`  X`  `  400
`  BSEC-ORT01`  D`  `  X`  X`  `  400
`  BSEC-PFACH`  D`  `  X`  X`  `  400
`  BSEC-PSTL2`  D`  `  X`  X`  `  400
`  BSEC-PSTLZ`  D`  `  X`  X`  `  400
`  BSEC-REGIO`  D`  `  X`  X`  `  400
`  BSEC-SPRAS`  D`  `  X`  X`  `  400
`  BSEC-STCD1`  D`  `  X`  X`  `  400
`  BSEC-STCD2`  D`  `  X`  X`  `  400
`  BSEC-STKZA`  D`  `  X`  X`  `  400
`  BSEC-STKZU`  D`  `  X`  X`  `  400
`  BSEC-STRAS`  D`  `  X`  X`  `  400
`  BSEG-ANFBJ`  D`  `  X`  X`  `  400
`  BSEG-ANFBN`  D`  `  X`  X`  `  400
`  BSEG-ANFBU`  D`  `  X`  X`  `  400
`  BSEG-BVTYP`  D`  `  X`  X`  `  400
`  BSEG-CESSION_KZ`  D`  `  X`  `  `  400
1410`  BSEG-DTWS1`  D`  `  X`  `  `  400
1410`  BSEG-DTWS2`  D`  `  X`  `  `  400
1410`  BSEG-DTWS3`  D`  `  X`  `  `  400
1410`  BSEG-DTWS4`  D`  `  X`  `  `  400
`  BSEG-EGBLD`  D`  `  X`  X`  X`  400
`  BSEG-HBKID`  D`  `  X`  `  `  400
6810`  BSEG-J_1TPBUPL`  D`  `  X`  X`  X`  400
`  BSEG-LANDL`  D`  `  X`  `  `  400
`  BSEG-LZBKZ`  D`  `  X`  `  `  400
`  BSEG-MABER`  D`  `  X`  X`  `  400
`  BSEG-MADAT`  D`  `  X`  X`  `  400
`  BSEG-MANSP`  D`  `  X`  X`  `  400
`  BSEG-MANST`  D`  `  X`  X`  `  400
`  BSEG-MSCHL`  D`  `  X`  X`  `  400
`  BSEG-MWSKZ`  D`  `  X`  `  `  400
`  BSEG-REBZG`  D`  `  X`  X`  `  400
`  BSEG-REBZJ`  D`  `  X`  X`  `  400
`  BSEG-REBZZ`  D`  `  X`  X`  `  400
`  BSEG-SGTXT`  D`  `  X`  `  `  400
`  BSEG-WMWST`  D`  `  X`  `  `  400
`  BSEG-WRBTR`  D`  `  X`  `  `  400
`  BSEG-XREF1`  D`  `  X`  `  `  400
1410`  BSEG-XREF1`  D`  `  X`  `  `  400
1410`  BSEG-XREF2`  D`  `  X`  `  `  400
1410`  BSEG-XREF3`  D`  `  X`  `  `  400
4310`  BSEG-XREF3`  D`  `  X`  `  `  400
`  BSEG-ZBD1P`  D`  `  X`  X`  `  400
`  BSEG-ZBD1T`  D`  `  X`  X`  `  400
`  BSEG-ZBD2P`  D`  `  X`  X`  `  400
`  BSEG-ZBD2T`  D`  `  X`  X`  `  400
`  BSEG-ZBD3T`  D`  `  X`  X`  `  400
`  BSEG-ZBFIX`  D`  `  X`  X`  `  400
`  BSEG-ZFBDT`  D`  `  X`  X`  `  400
`  BSEG-ZLSCH`  D`  `  X`  X`  `  400
`  BSEG-ZLSPR`  D`  `  X`  X`  `  400
`  BSEG-ZTERM`  D`  `  X`  X`  `  400
`  BSEG-ZUONR`  D`  `  X`  `  `  400
`  RF05L-EGMLD`  D`  `  X`  `  `  400
`  BSEC-BANKL`  D`  A`  X`  X`  `  400
`  BSEC-BANKN`  D`  A`  X`  X`  `  400
`  BSEC-BANKS`  D`  A`  X`  X`  `  400
`  BSEC-BKONT`  D`  A`  X`  X`  `  400
`  BSEC-NAME1`  D`  A`  X`  X`  `  400
`  BSEC-NAME2`  D`  A`  X`  X`  `  400
`  BSEC-NAME3`  D`  A`  X`  X`  `  400
`  BSEC-NAME4`  D`  A`  X`  X`  `  400
`  BSEC-ORT01`  D`  A`  X`  X`  `  400
`  BSEC-PSTLZ`  D`  A`  X`  X`  `  400
`  BSEC-STRAS`  D`  A`  X`  X`  `  400
`  BSEG-BVTYP`  D`  A`  X`  X`  `  400
`  BSEG-HZUON`  D`  A`  X`  `  `  400
`  BSEG-MABER`  D`  A`  X`  X`  `  400
`  BSEG-MADAT`  D`  A`  X`  X`  `  400
`  BSEG-MANSP`  D`  A`  X`  X`  `  400
`  BSEG-MANST`  D`  A`  X`  X`  `  400
`  BSEG-MSCHL`  D`  A`  X`  X`  `  400
`  BSEG-SGTXT`  D`  A`  X`  `  `  400
`  BSEG-ZBD1P`  D`  A`  X`  X`  `  400
`  BSEG-ZFBDT`  D`  A`  X`  `  `  400
`  BSEG-ZLSCH`  D`  A`  X`  X`  `  400
`  BSEG-ZLSPR`  D`  A`  X`  X`  `  400
`  BSEG-ZUONR`  D`  A`  X`  `  `  400
3310`  BSED-PORTF`  D`  W`  X`  X`  `  400
3610`  BSED-PORTF`  D`  W`  X`  X`  `  400
5110`  BSED-PORTF`  D`  W`  X`  X`  `  400
5810`  BSED-PORTF`  D`  W`  X`  X`  `  400
5910`  BSED-PORTF`  D`  W`  X`  X`  `  400
6810`  BSED-PORTF`  D`  W`  X`  X`  `  400
3310`  BSED-VENDR`  D`  W`  X`  X`  `  400
3610`  BSED-VENDR`  D`  W`  X`  X`  `  400
5110`  BSED-VENDR`  D`  W`  X`  X`  `  400
5810`  BSED-VENDR`  D`  W`  X`  X`  `  400
5910`  BSED-VENDR`  D`  W`  X`  X`  `  400
6810`  BSED-VENDR`  D`  W`  X`  X`  `  400
3310`  BSED-WGBKZ`  D`  W`  X`  X`  `  400
3610`  BSED-WGBKZ`  D`  W`  X`  X`  `  400
5110`  BSED-WGBKZ`  D`  W`  X`  X`  `  400
5810`  BSED-WGBKZ`  D`  W`  X`  X`  `  400
5910`  BSED-WGBKZ`  D`  W`  X`  X`  `  400
6810`  BSED-WGBKZ`  D`  W`  X`  X`  `  400
`  BSEG-HZUON`  D`  W`  X`  `  `  400
1510`  BSEG-HZUON`  D`  W`  X`  `  `  400
4310`  BSEG-HZUON`  D`  W`  X`  `  `  400
LIU1`  BSEG-HZUON`  D`  W`  X`  `  `  400
`  BSEG-SGTXT`  D`  W`  X`  `  `  400
1510`  BSEG-SGTXT`  D`  W`  X`  `  `  400
4310`  BSEG-SGTXT`  D`  W`  X`  `  `  400
LIU1`  BSEG-SGTXT`  D`  W`  X`  `  `  400
`  BSEG-ZUONR`  D`  W`  X`  `  `  400
1510`  BSEG-ZUONR`  D`  W`  X`  `  `  400
4310`  BSEG-ZUONR`  D`  W`  X`  `  `  400
LIU1`  BSEG-ZUONR`  D`  W`  X`  `  `  400
`  BSEG-SGTXT`  D`  X`  X`  `  `  400
`  BSEC-BANKL`  K`  `  X`  X`  `  400
`  BSEC-BANKN`  K`  `  X`  X`  `  400
`  BSEC-BANKS`  K`  `  X`  X`  `  400
`  BSEC-BKONT`  K`  `  X`  X`  `  400
`  BSEC-DTAMS`  K`  `  X`  X`  `  400
`  BSEC-DTAWS`  K`  `  X`  X`  `  400
`  BSEC-LAND1`  K`  `  X`  X`  `  400
`  BSEC-NAME1`  K`  `  X`  X`  `  400
`  BSEC-NAME2`  K`  `  X`  X`  `  400
`  BSEC-NAME3`  K`  `  X`  X`  `  400
`  BSEC-NAME4`  K`  `  X`  X`  `  400
`  BSEC-ORT01`  K`  `  X`  X`  `  400
`  BSEC-PFACH`  K`  `  X`  X`  `  400
`  BSEC-PSTL2`  K`  `  X`  X`  `  400
`  BSEC-PSTLZ`  K`  `  X`  X`  `  400
`  BSEC-REGIO`  K`  `  X`  X`  `  400
`  BSEC-SPRAS`  K`  `  X`  X`  `  400
`  BSEC-STCD1`  K`  `  X`  X`  `  400
`  BSEC-STCD2`  K`  `  X`  X`  `  400
`  BSEC-STKZA`  K`  `  X`  X`  `  400
`  BSEC-STKZU`  K`  `  X`  X`  `  400
