MANDT [C(00006)]`KTOPL [C(00008)]`KTOGR [C(00016)]`AFABE [C(00004)]`KTSZUS [C(00020)]`KTSAFU [C(00020)]`KTNAFB [C(00020)]`KTNAFG [C(00020)]`KTNZUS [C(00020)]`KTNAFU [C(00020)]`KTSAFB [C(00020)]`KTSAFG [C(00020)]
400`  `  00010000`  01`  `  `  0000191900`  0000792100`  `  0000792100`  `
400`  CACO`  CO158400`  01`  `  `  0015971500`  0051659500`  `  `  `
400`  CACO`  CO158400`  10`  `  `  `  `  `  `  `
400`  CACO`  CO160500`  01`  `  `  0016980500`  0051651000`  `  `  `
400`  CACO`  CO160500`  10`  `  `  `  `  `  `  `
400`  CACO`  CO161000`  01`  `  `  0016981000`  0051651000`  `  `  `
400`  CACO`  CO161000`  10`  `  `  `  `  `  `  `
400`  CACO`  CO161500`  01`  `  `  0016981500`  0051651000`  `  `  `
400`  CACO`  CO161500`  10`  `  `  `  `  `  `  `
400`  CACO`  CO162000`  01`  `  `  0016982000`  0051651000`  `  `  `
400`  CACO`  CO162000`  10`  `  `  `  `  `  `  `
400`  CACO`  CO162500`  01`  `  `  0016983000`  0051651000`  `  `  `
400`  CACO`  CO162500`  10`  `  `  `  `  `  `  `
400`  CACO`  CO163000`  01`  `  `  0016983500`  0051651000`  `  `  `
400`  CACO`  CO163000`  10`  `  `  `  `  `  `  `
400`  CACO`  CO163500`  01`  `  `  0016984000`  0051651000`  `  `  `
400`  CACO`  CO163500`  10`  `  `  `  `  `  `  `
400`  CACZ`  00010000`  01`  `  `  0000089000`  0000551000`  0000551000`  0000551000`  `
400`  CACZ`  00020000`  01`  `  `  0000082000`  0000551000`  0000551000`  0000551000`  `
400`  CACZ`  00030000`  01`  `  `  0000081000`  0000551000`  0000551000`  0000551000`  `
400`  CACZ`  00050000`  01`  `  `  0000088000`  0000551000`  0000551000`  0000551000`  `
400`  CACZ`  00091100`  01`  `  `  0000071000`  0000551000`  0000551000`  `  `
400`  CACZ`  00091200`  01`  `  `  0000072000`  0000551000`  0000551000`  `  `
400`  CACZ`  00091300`  01`  `  `  0000073000`  0000551000`  0000551000`  `  `
400`  CACZ`  00091400`  01`  `  `  0000074000`  0000551000`  0000551000`  `  `
400`  CACZ`  00091800`  01`  `  `  0000078000`  0000551000`  0000551000`  `  `
400`  CACZ`  00091900`  01`  `  `  0000079000`  0000551000`  0000551000`  `  `
