MANDT [C(00006)]`VKORG [C(00008)]`VTWEG [C(00004)]`SPART [C(00004)]`KALVG [C(00004)]`KALKS [C(00004)]`KALSM [C(00012)]`KARTV [C(00008)]`KALNB [C(00012)]`KALBB [C(00012)]
400`  `  `  `  `  `  `  `  `
400`  1006`  ZA`  C1`  I`  M1`  MRVAA2`  MPR0`  `
400`  1006`  ZA`  C1`  MA`  M1`  MRVAA1`  MPR0`  `
400`  1006`  ZA`  C2`  I`  M1`  MRVAA2`  MPR0`  `
400`  1006`  ZA`  C2`  MA`  M1`  MRVAA1`  MPR0`  `
400`  1006`  ZA`  CC`  I`  M1`  MRVAA2`  MPR0`  `
400`  1006`  ZA`  CC`  MA`  M1`  MRVAA1`  MPR0`  `
400`  1006`  ZB`  C1`  I`  M1`  MRVAA2`  MPR0`  `
400`  1006`  ZB`  C1`  MA`  M1`  MRVAA1`  MPR0`  `
400`  1006`  ZB`  C2`  I`  M1`  MRVAA2`  MPR0`  `
400`  1006`  ZB`  C2`  MA`  M1`  MRVAA1`  MPR0`  `
400`  1006`  ZB`  CC`  I`  M1`  MRVAA2`  MPR0`  `
400`  1006`  ZB`  CC`  MA`  M1`  MRVAA1`  MPR0`  `
400`  1010`  10`  00`  A`  `  A10002`  PPR0`  `
400`  1010`  10`  00`  A`  01`  A10002`  PPR0`  `
400`  1010`  10`  00`  AS`  `  A10010`  `  `
400`  1010`  10`  00`  AS`  01`  A10010`  `  `
400`  1010`  10`  00`  O1`  `  Y10101`  PPR0`  `
400`  1010`  10`  00`  O1`  01`  Y10101`  PPR0`  `
400`  1010`  10`  00`  O1`  02`  Y10101`  PPR0`  `
400`  1010`  10`  00`  S1`  `  S10001`  PPR0`  `
400`  1010`  10`  00`  S1`  01`  S10001`  PPR0`  `
400`  1010`  10`  00`  S1`  02`  S10001`  PPR0`  `
400`  1010`  10`  00`  S3`  01`  A10020`  PSI1`  `
400`  1010`  10`  00`  S3`  02`  A10020`  PSI1`  `
400`  1010`  10`  00`  S3`  1`  A10020`  `  `
400`  1010`  10`  00`  Y1`  `  Y10101`  PPR0`  YA0001`
400`  1010`  10`  00`  Y1`  01`  Y10101`  PPR0`  YA0001`
400`  1010`  10`  00`  Y2`  `  A10004`  VTV1`  `
400`  1010`  10`  00`  Y2`  01`  A10004`  VTV1`  `
400`  1010`  10`  CO`  A`  `  A10002`  PPR0`  `
400`  1010`  10`  CO`  A`  01`  A10002`  PPR0`  `
400`  1010`  10`  CO`  AS`  `  A10010`  `  `
400`  1010`  10`  CO`  AS`  01`  A10010`  `  `
400`  1010`  10`  CO`  O1`  `  Y10101`  PPR0`  `
400`  1010`  10`  CO`  O1`  01`  Y10101`  PPR0`  `
400`  1010`  10`  CO`  O1`  02`  Y10101`  PPR0`  `
400`  1010`  10`  CO`  S1`  `  S10001`  PPR0`  `
400`  1010`  10`  CO`  S1`  01`  S10001`  PPR0`  `
400`  1010`  10`  CO`  S1`  02`  S10001`  PPR0`  `
400`  1010`  10`  CO`  S3`  01`  A10020`  PSI1`  `
400`  1010`  10`  CO`  S3`  02`  A10020`  PSI1`  `
400`  1010`  10`  CO`  S3`  1`  A10020`  `  `
400`  1010`  10`  CO`  Y1`  `  Y10101`  PPR0`  YA0001`
400`  1010`  10`  CO`  Y1`  01`  Y10101`  PPR0`  YA0001`
400`  1010`  10`  CO`  Y2`  `  A10004`  VTV1`  `
400`  1010`  10`  CO`  Y2`  01`  A10004`  VTV1`  `
400`  1110`  10`  00`  A`  `  A11002`  PPR0`  `
400`  1110`  10`  00`  A`  01`  A11002`  PPR0`  `
400`  1110`  10`  00`  AS`  `  A11010`  `  `
400`  1110`  10`  00`  AS`  01`  A11010`  `  `
400`  1110`  10`  00`  Y1`  `  Y11101`  PPR0`  YA0001`
400`  1110`  10`  00`  Y1`  01`  Y11101`  PPR0`  YA0001`
400`  1110`  10`  00`  Y2`  `  A11004`  VTV1`  `
400`  1110`  10`  00`  Y2`  01`  A11004`  VTV1`  `
400`  1110`  10`  CO`  A`  `  A11002`  PPR0`  `
400`  1110`  10`  CO`  A`  01`  A11002`  PPR0`  `
400`  1110`  10`  CO`  AS`  `  A11010`  `  `
400`  1110`  10`  CO`  AS`  01`  A11010`  `  `
400`  1110`  10`  CO`  Y1`  `  Y11101`  PPR0`  YA0001`
400`  1110`  10`  CO`  Y1`  01`  Y11101`  PPR0`  YA0001`
400`  1110`  10`  CO`  Y2`  `  A11004`  VTV1`  `
400`  1110`  10`  CO`  Y2`  01`  A11004`  VTV1`  `
400`  1210`  10`  00`  A`  `  A12002`  PPR0`  `
400`  1210`  10`  00`  A`  01`  A12002`  PPR0`  `
400`  1210`  10`  00`  AS`  `  A12010`  `  `
400`  1210`  10`  00`  AS`  01`  A12010`  `  `
