TCODE [C(00040)]`PARAM [C(00508)]
/ACCGO/FEE_AD`  /*SM30 VIEWNAME=/ACCGO/V_FEE_AD;UPDATE=X;
/ACCGO/FEE_PRP_TXT`  /*SM30 VIEWNAME=/ACCGO/V_FEE_PRT;UPDATE=x;
/ACCGO/FID`  /*SNUM TNRO-OBJECT=/ACCGO/FID;
/ACCGO/FR_EVENT`  /*SM30 UPDATE=X;VIEWNAME=/ACCGO/V_FREVENT;
/ACCGO/FR_MIDP`  /*SM30 UPDATE=X;VIEWNAME=/ACCGO/V_FR_MIDP;
/ACCGO/GRPCAT`  /*SM30 VIEWNAME=/ACCGO/V_GRPCAT;UPDATE=X;
/ACCGO/GRPNUMRANGE`  /NSNUM TNRO-OBJECT=/ACCGO/GRP;
/ACCGO/GRPTYP`  /*SM30 VIEWNAME=/ACCGO/V_STLGRP;UPDATE=X;
/ACCGO/INVT`  /*SM30 VIEWNAME=/ACCGO/V_INVT;UPDATE=X;
/ACCGO/INVTRM`  /*SM30 VIEWNAME=/ACCGO/V_INVTRM;UPDATE=X;
/ACCGO/LDC_CUST`  /*SM34 UPDATE=X;VCLDIR-VCLNAME=/ACCGO/VC_UIS_CUST;
/ACCGO/LDC_MCV`  /*SM30 UPDATE=X;VIEWNAME=/ACCGO/V_UISVAL;
/ACCGO/LIENNUMRANGE`  /NSNUM TNRO-OBJECT=/ACCGO/LN;
/ACCGO/MAINTAIN_DPQS`  /*SM34 UPDATE=X;VCLDIR-VCLNAME=/ACCGO/CCK_VC_DPQS_MASTER;
/ACCGO/MAINTAIN_OPT`  /*SM30 VIEWNAME=/ACCGO/V_OPCATG;UPDATE=X;
/ACCGO/MAINT_CALC_RL`  /*SM30 VIEWNAME=/ACCGO/V_calc_rl;UPDATE=X;
/ACCGO/MAINT_COST`  /*SM34 UPDATE=X;VCLDIR-VCLNAME=/ACCGO/VC_PRCOST;
/ACCGO/MAINT_CURR`  /*SM30 VIEWNAME=/ACCGO/V_CUR_MAP;UPDATE=X;
/ACCGO/MAINT_DERV_RL`  /*SM30 VIEWNAME=/ACCGO/V_DER_RL;UPDATE=X;
/ACCGO/MAINT_MEOT`  /*SM34 VCLDIR-VCLNAME=/ACCGO/VC_MEANS;UPDATE=X;
/ACCGO/MAINT_OPT_CAT`  /*SM30 VIEWNAME=/ACCGO/V_OPCATG;UPDATE=X;
/ACCGO/MAINT_PARAMS`  /*SM30 VIEWNAME=/ACCGO/V_CRL_PRM;UPDATE=X;
/ACCGO/MAINT_QTYPRFS`  /*SM34 VCLDIR-VCLNAME=/ACCGO/VC_QTNPROFILES;SHOW=X;
/ACCGO/MAINT_STAT`  /*SM34 VCLDIR-VCLNAME=/ACCGO/VC_CMN_STMT;UPDATE=X;
/ACCGO/MAINT_TABASGN`  /*SM34 VCLDIR-VCLNAME=/ACCGO/VC_GTM_TABASGN;SHOW=X;
/ACCGO/MAINT_TABLIST`  /*SM34 VCLDIR-VCLNAME=/ACCGO/VC_GTM_TABLIST;SHOW=X;
/ACCGO/MAINT_TEMPLAT`  /*SM34 UPDATE=X;VCLDIR-VCLNAME=/ACCGO/VC_TEMPL;
/ACCGO/MNT_MAKT_TIME`  /*SM30 VIEWNAME=/ACCGO/V_MKTTIMG;UPDATE=X;
/ACCGO/MNT_PROG_FAM`  /*SM30 VIEWNAME=/ACCGO/V_PGM_fam;UPDATE=X;
/ACCGO/MNT_PROG_TYPE`  /*SM30 VIEWNAME=/ACCGO/V_PGM_TYP;UPDATE=X;
/ACCGO/MVT_TYP`  /*SM30 VIEWNAME=/ACCGO/V_MVT_TYP;UPDATE=X;
/ACCGO/MVT_TYPE`  /*SM30 VIEWNAME=/ACCGO/V_MVT_TYP;UPDATE=X;
/ACCGO/NEG_STRL`  /*SM30 VIEWNAME=/ACCGO/V_NEGSTRL;UPDATE=X;
/ACCGO/NSL`  /*SM30 VIEWNAME=/ACCGO/V_PLT_NSL;UPDATE=X;
/ACCGO/NSSNUMRANGE`  /NSNUM TNRO-OBJECT=/ACCGO/NSS;
/ACCGO/OPT_CUS`  /*SM30 VIEWNAME=/ACCGO/V_OPCTCNF;UPDATE=X;
/ACCGO/PPHD`  /*SM30 VIEWNAME=/ACCGO/V_PPHD;UPDATE=X;
/ACCGO/PRGM_MAINT`  /*SM34 VCLDIR-VCLNAME=/ACCGO/PRGM_MAINT;UPDATE=x;
/ACCGO/PRIAPT`  /*SM30 VIEWNAME=/ACCGO/T_PRIAPT;UPDATE=X;
/ACCGO/PRNUMRANGE`  /*SNUM TNRO-OBJECT=/ACCGO/CID;
/ACCGO/PROCESS_TRACE`  /*SM30 VIEWNAME=/ACCGO/V_PROTRAC;UPDATE=X;
