MANDT [C(00006)]`SPRAS [C(00002)]`AFAPL [C(00008)]`METSTU [C(00006)]`STUTXT [C(00100)]
400`  E`  0JP`  071`  Str.-line/prct over useful life 2 yrs    50.0000%
400`  E`  0JP`  072`  Str.-line/prct over useful life 3 yrs    33.3000%
400`  E`  0JP`  073`  Str.-line/prct over useful life 4 yrs  25.0000%
400`  E`  0JP`  074`  Str.-line/prct over useful life 5 yrs  20.0000%
400`  E`  0JP`  075`  Str.-line/prct over useful life 6 yrs  16.6000%
400`  E`  0JP`  076`  Str.-line/prct over useful life 7 yrs  14.2000%
400`  E`  0JP`  077`  Str.-line/prct over useful life 8 yrs  12.5000%
400`  E`  0JP`  078`  Str.-line/prct over useful life 9 yrs  11.1000%
400`  E`  0JP`  079`  Str.-line/prct over useful life 10 yrs 10.0000%
400`  E`  0JP`  080`  Str.-line/prct over useful life 11 yrs   9.0000%
400`  E`  0JP`  081`  Str.-line/prct over useful life 12 yrs   8.3000%
400`  E`  0JP`  082`  Str.-line/prct over useful life 13 yrs   7.6000%
400`  E`  0JP`  083`  Str.-line/prct over useful life 14 yrs   7.1000%
400`  E`  0JP`  084`  Str.-line/prct over useful life 15 yrs   6.6000%
400`  E`  0JP`  085`  Str.-line/prct over useful life 16 yrs   6.2000%
400`  E`  0JP`  086`  Str.-line/prct over useful life 17 yrs   5.8000%
400`  E`  0JP`  087`  Str.-line/prct over useful life 18 yrs   5.5000%
400`  E`  0JP`  088`  Str.-line/prct over useful life 19 yrs   5.2000%
400`  E`  0JP`  089`  Str.-line/prct over useful life 20 yrs   5.0000%
400`  E`  0JP`  090`  Str.-line/prct over useful life 21 yrs   4.8000%
400`  E`  0JP`  091`  Str.-line/prct over useful life 22 yrs   4.6000%
400`  E`  0JP`  092`  Str.-line/prct over useful life 23 yrs   4.4000%
400`  E`  0JP`  093`  Str.-line/prct over useful life 24 yrs   4.2000%
400`  E`  0JP`  094`  Str.-line/prct over useful life 25 yrs   4.0000%
400`  E`  0JP`  095`  Str.-line/prct over useful life 26 yrs   3.9000%
400`  E`  0JP`  096`  Str.-line/prct over useful life 27 yrs   3.7000%
400`  E`  0JP`  097`  Str.-line/prct over useful life 28 yrs   3.6000%
400`  E`  0JP`  098`  Str.-line/prct over useful life 29 yrs   3.5000%
400`  E`  0JP`  099`  Str.-line/prct over useful life 30 yrs   3.4000%
400`  E`  0JP`  100`  Str.-line/prct over useful life 31 yrs   3.3000%
400`  E`  0JP`  101`  Str.-line/prct over useful life 32 yrs   3.2000%
400`  E`  0JP`  102`  Str.-line/prct over useful life 33 yrs   3.1000%
400`  E`  0JP`  103`  Str.-line/prct over useful life 34 yrs   3.0000%
400`  E`  0JP`  104`  Str.-line/prct over useful life 35 yrs   2.9000%
400`  E`  0JP`  105`  Str.-line/prct over useful life 36 yrs   2.8000%
400`  E`  0JP`  106`  Str.-line/prct ovr useful life 37-38 yrs  2.7000%
400`  E`  0JP`  107`  Str.-line/prct over useful life 39 yrs   2.6000%
400`  E`  0JP`  108`  Str.-line/prct ovr useful life 40-41 yrs  2.5000%
400`  E`  0JP`  109`  Str.-line/prct ovr useful life 42-43 yrs  2.4000%
400`  E`  0JP`  110`  Str.-line/prct ovr useful life 44-45 yrs  2.3000%
