MANDT [C(00006)]`KAPPL [C(00004)]`KSCHL [C(00008)]`KTOPL [C(00008)]`VKORG [C(00008)]`KTGRD [C(00004)]`KTGRM [C(00004)]`KVSL1 [C(00006)]`SAKN1 [C(00020)]`SAKN2 [C(00020)]
400`  V`  KOFI`  CABE`  0001`  01`  01`  ERL`  0000700000`
400`  V`  KOFI`  CABE`  0001`  01`  02`  ERL`  0000700000`
400`  V`  KOFI`  CABE`  0001`  02`  01`  ERL`  0000700000`
400`  V`  KOFI`  CABE`  0001`  02`  02`  ERL`  0000700000`
400`  V`  KOFI`  CABE`  0001`  03`  01`  ERL`  0000700000`
400`  V`  KOFI`  CABE`  0001`  03`  02`  ERL`  0000700000`
400`  V`  KOFI`  CACH`  0001`  01`  `  ERL`  0000030000`
400`  V`  KOFI`  CACH`  0001`  01`  01`  ERL`  0000032000`
400`  V`  KOFI`  CACH`  0001`  01`  02`  ERL`  0000034000`
400`  V`  KOFI`  CACH`  0001`  02`  `  ERL`  0000030010`
400`  V`  KOFI`  CACH`  0001`  02`  01`  ERL`  0000032010`
400`  V`  KOFI`  CACH`  0001`  02`  02`  ERL`  0000034010`
400`  V`  KOFI`  CACH`  0001`  03`  `  ERL`  0000030500`
400`  V`  KOFI`  CACH`  0001`  03`  01`  ERL`  0000032500`
400`  V`  KOFI`  CACH`  0001`  03`  02`  ERL`  0000034500`
400`  V`  KOFI`  CACN`  0001`  01`  01`  ERL`  0051010100`
400`  V`  KOFI`  CACN`  0001`  01`  02`  ERL`  0051010100`
400`  V`  KOFI`  CACN`  0001`  02`  01`  ERL`  `
400`  V`  KOFI`  CACN`  0001`  02`  02`  ERL`  `
400`  V`  KOFI`  CACN`  0001`  03`  01`  ERL`  0051010100`
400`  V`  KOFI`  CACN`  0001`  03`  02`  ERL`  0051010100`
400`  V`  KOFI`  CACZ`  0001`  01`  01`  ERL`  0000601000`
400`  V`  KOFI`  CACZ`  0001`  01`  02`  ERL`  0000601000`
400`  V`  KOFI`  CACZ`  0001`  02`  01`  ERL`  0000604000`
400`  V`  KOFI`  CACZ`  0001`  02`  02`  ERL`  0000604000`
400`  V`  KOFI`  CACZ`  0001`  03`  01`  ERL`  0000601000`
400`  V`  KOFI`  CACZ`  0001`  03`  02`  ERL`  0000601000`
400`  V`  KOFI`  CAES`  0001`  01`  01`  ERL`  0000700000`
400`  V`  KOFI`  CAFI`  0001`  01`  01`  ERL`  0000310000`
400`  V`  KOFI`  CAFI`  0001`  01`  02`  ERL`  0000310000`
400`  V`  KOFI`  CAFI`  0001`  02`  01`  ERL`  0000330000`
400`  V`  KOFI`  CAFI`  0001`  02`  02`  ERL`  0000330000`
400`  V`  KOFI`  CAFI`  0001`  03`  01`  ERL`  0000310000`
400`  V`  KOFI`  CAFI`  0001`  03`  02`  ERL`  0000310000`
