MANDT [C(00006)]`KTOKK [C(00008)]`FAUSA [C(00080)]`FAUSF [C(00080)]`FAUSM [C(00080)]`FAUS1 [C(00080)]`FAUSW [C(00080)]`FAUST [C(00080)]`FAUS2 [C(00080)]`FAUSU [C(00080)]`FAUSG [C(00080)]`FAUSN [C(00080)]`FAUSX [C(00080)]
400`  DV03`  +.+........--+................+.........`  .............-..........................`  +...-...................-...............`  ............................-------.....`  `  `  ........................................`  -.--..-.--------------------------------`  ----...---------------------------------`  ..-.....-------.------------------------`  -..-..-.--------------------------------
400`  DV04`  +-+.---------.----------------.-----.---`  +-..-.....--.-------.-.-.-.-------..---.`  +......................---.--...........`  ----------------------------------------`  `  `  ...................---------............`  ----------------------------------------`  ----.-----------------------------------`  ..-.....--------------------------------`  ----------------------------------------
400`  EMPL`  ..............................+.........`  ........................................`  ........................................`  .......................-....-------.....`  `  `  ........................................`  -.--..-.--------------------------------`  .......---------------------------------`  ..-.....-------.------------------------`  -..-..-.--------------------------------
400`  F001`  +.+.....................................`  ........................................`  ........................+...............`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................
400`  F002`  +.+.....................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................
400`  G001`  +....+..................................`  .-.+..+.................................`  ........................................`  ........................................`  `  `  ........................................`  `  ........................................`  ........................................`
400`  G002`  +....+..................................`  .-.+..+.................................`  ........................................`  ........................................`  `  `  ........................................`  `  ........................................`  ........................................`
400`  G003`  +....+..................................`  .-.+..+.................................`  ........................................`  ........................................`  `  `  ........................................`  `  ........................................`  ........................................`
400`  HM03`  ........................................`  ........................................`  ........................................`  ........................................`  `  `  ........................................`  `  ........................................`  ........................................`
400`  HM04`  ........................................`  ........................................`  ........................................`  ........................................`  `  `  ........................................`  `  ........................................`  ........................................`
400`  HM05`  ........................................`  ........................................`  ........................................`  ........................................`  `  `  ........................................`  `  ........................................`  ........................................`
400`  HOL`  +.+..+...-----..-----------.--.------.--`  ----------------------------------------`  ----------------..---..-----------------`  ---------.-..--.....-------..........---`  ---------.-----------.--......-.--....-.`  ---------.------..---..-......-.--....-.`  -...---............-----....-...........`  .-..--.-.......-........................`  -------.-...............................`  -.......................................`  .--.--.-.......-........................
400`  KRED`  +.............................+........-`  +............-..........................`  +........................-..............`  .......................-....-------.....`  ........................................`  ........................................`  ........................................`  -.--..-.--------------------------------`  ----...---------------------------------`  ..-.....-------.------------------------`  -..-..-.--------------------------------
400`  L01`  ........................................`  +............-..........................`  ........................................`  ........................................`  `  `  ........................................`  `  .-......................................`  ........................................`
400`  L03`  ........................................`  ........................................`  ........................................`  ........................................`  `  `  ........................................`  `  ........................................`  ........................................`
400`  L04`  ........................................`  ........................................`  ........................................`  ........................................`  `  `  ........................................`  `  ........................................`  ........................................`
400`  L05`  ........................................`  ........................................`  ........................................`  ........................................`  `  `  ........................................`  `  ........................................`  ........................................`
400`  LIEF`  +.+..+.....--+................+.........`  -.......................................`  +........................-..............`  ............................-------.....`  ........................................`  ........................................`  ........................................`  -.--..-.--------------------------------`  -.--...--.------------------------------`  ..-.....-------.------------------------`  -..-..-.--------------------------------
400`  LV01`  ........................................`  ........................................`  ........................................`  ........................................`  `  `  ........................................`  `  ........................................`  ........................................`
400`  LV02`  ........................................`  ........................................`  ........................................`  ........................................`  `  `  ........................................`  `  ........................................`  ........................................`
400`  M08`  ........................................`  ........................................`  ........................................`  ........................................`  `  `  ........................................`  `  ........................................`  ........................................`
400`  MNFR`  +.+........--...----------..--.------.--`  ----------------------------------------`  ----------------..---...----------------`  ---------.....-.....-------.-------.....`  ---------.-----------.--......-.--....-.`  ---------.------..---..-......-.--....-.`  -------------------......-..------------`  ----------------------------------------`  ----------------------------------------`  --------.-------------------------------`  ----------------------------------------
400`  P001`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................
400`  REIS`  +.+..+....---+..-------------.+....-----`  +..+-......----.-------....--..---------`  ----------------------------------------`  ---------.-..--.....-------.-------.....`  ---------.-----------.--......-.--....-.`  ---------.------..---..-......-.--....-.`  ...................-.....-..............`  ----------------------------------------`  ----------------------------------------`  ----------------------------------------`  ----------------------------------------
400`  S001`  +.+........--+................+.........`  .............-..........................`  +...-...................-...............`  ............................-------.....`  ....-...................................`  ....-...................................`  ........................................`  -.--..-.--------------------------------`  ----...---------------------------------`  ..-.....-------.------------------------`  -..-..-.--------------------------------
400`  ST01`  +.+........--+................+.........`  .............-..........................`  +...-...................-...............`  ............................-------.....`  `  `  ........................................`  -.--..-.--------------------------------`  ----...---------------------------------`  ..-.....-------.------------------------`  -..-..-.--------------------------------
400`  ST02`  +.+........--+................+.........`  .............-..........................`  +...-...................-...............`  ............................-------.....`  `  `  ........................................`  -.--..-.--------------------------------`  ----...---------------------------------`  ..-.....-------.------------------------`  -..-..-.--------------------------------
400`  ST03`  +.+........--+................+.........`  .............-..........................`  +...-...................-...............`  ............................-------.....`  `  `  ........................................`  -.--..-.--------------------------------`  ----...---------------------------------`  ..-.....-------.------------------------`  -..-..-.--------------------------------
400`  SUPL`  ..............................+........-`  ........................................`  ....*...................................`  .......................-....-------.....`  ........................................`  ........................................`  ........................................`  -.--..-.--------------------------------`  .......---------------------------------`  ..-.....-------.------------------------`  -..-..-.--------------------------------
400`  TK01`  ........................................`  ........................................`  ........................................`  ........................................`  `  `  ........................................`  `  ........................................`  ........................................`
400`  TM01`  +-+------..--+--..............+......-..`  .............-....---------.......--...-`  +...-...................*...............`  .........-----.-----.......-------------`  `  `  ....---............-----..---...........`  -.--..-.--------------------------------`  -----..---------------------------------`  ..-.....-------.------------------------`  -..-..-.--------------------------------
400`  TM02`  +.+........--+................+.........`  .............-..........................`  +...-...................-...............`  ............................-------.....`  `  `  ........................................`  -.--..-.--------------------------------`  ----...---------------------------------`  ..-.....-------.------------------------`  -..-..-.--------------------------------
400`  TM03`  +.+........--+................+.........`  .............-..........................`  +...-...................+..++...........`  ............................-------.....`  `  `  ........................................`  -.--..-.--------------------------------`  ----...---------------------------------`  ..-.....-------.------------------------`  -..-..-.--------------------------------
400`  TM04`  +-+.---------.----------------.-----.---`  +-..-.....--.----.--.-.-.-.-------..---.`  +......................---.--...........`  ----------------------------------------`  `  `  ...................---------............`  ----------------------------------------`  ----.-----------------------------------`  ..-.....--------------------------------`  ----------------------------------------
400`  TM05`  +-+.-*-------.----------------.-----.---`  +-..-.....--.-------.-.-.-.-------..---.`  +......................---.--...........`  ----------------------------------------`  `  `  ...................---------............`  ----------------------------------------`  ----.-----------------------------------`  ..-.....--------------------------------`  ----------------------------------------
