MANDT [C(00006)]`WERKS [C(00008)]`ABCIN [C(00002)]`ANINV [C(00006)]`ININV [C(00006)]`PZINV [C(00004)]`CCDEV [C(00006)]
400`  0001`  A`  012`  020`  05`  056
400`  0001`  B`  006`  041`  10`  028
400`  0001`  C`  003`  082`  20`  014
400`  0001`  D`  001`  247`  00`  002
400`  0003`  A`  012`  020`  05`  056
400`  0003`  B`  006`  041`  10`  028
400`  0003`  C`  003`  082`  20`  014
400`  0003`  D`  001`  247`  00`  002
400`  9999`  A`  012`  020`  05`  056
400`  9999`  B`  006`  041`  10`  028
400`  9999`  C`  003`  082`  20`  014
400`  9999`  D`  001`  247`  00`  002
400`  0009`  A`  012`  020`  05`  056
400`  0009`  B`  006`  041`  10`  028
400`  0009`  C`  003`  082`  20`  014
400`  0009`  D`  001`  247`  00`  002
400`  M008`  A`  012`  020`  05`  056
400`  M008`  B`  006`  041`  10`  028
400`  M008`  C`  003`  082`  20`  014
400`  M008`  D`  001`  247`  00`  002
400`  L001`  A`  012`  020`  05`  056
400`  L001`  B`  006`  041`  10`  028
400`  L001`  C`  003`  082`  20`  014
400`  L001`  D`  001`  247`  00`  002
400`  LL02`  A`  012`  020`  05`  056
400`  LL02`  B`  006`  041`  10`  028
400`  LL02`  C`  003`  082`  20`  014
400`  LL02`  D`  001`  247`  00`  002
400`  ZS01`  A`  012`  020`  05`  056
400`  ZS01`  B`  006`  041`  10`  028
400`  ZS01`  C`  003`  082`  20`  014
400`  ZS01`  D`  001`  247`  00`  002
400`  ZZ90`  A`  012`  020`  05`  056
400`  ZZ90`  B`  006`  041`  10`  028
400`  ZZ90`  C`  003`  082`  20`  014
400`  ZZ90`  D`  001`  247`  00`  002
400`  Z502`  A`  012`  020`  05`  056
400`  Z502`  B`  006`  041`  10`  028
400`  Z502`  C`  003`  082`  20`  014
400`  Z502`  D`  001`  247`  00`  002
