MANDT [C(00006)]`FRGGR [C(00004)]`FRGOT [C(00002)]`FRGFG [C(00002)]`FRGKL [C(00036)]
400`  01`  2`  `
400`  02`  1`  `  ZPR_01
400`  Z1`  2`  `  Z_POREL_AIRA
