AUART [C(00008)]`BEZOB [C(00002)]`CMGRA [C(00004)]`KLIMP [C(00002)]`MANDT [C(00006)]`VBTYP [C(00002)]
01`  `  `  `  400`  W
AA`  `  `  `  400`  C
AD1`  `  `  `  400`  G
AD2`  `  `  `  400`  L
AD3`  `  `  `  400`  L
AD9`  `  `  `  400`  C
AE`  `  `  `  400`  B
AEBO`  `  `  `  400`  C
AEBQ`  `  `  `  400`  B
AF`  `  01`  D`  400`  A
AFLV`  `  01`  D`  400`  A
AG`  `  `  `  400`  B
AGLS`  `  `  `  400`  B
AGLV`  `  `  `  400`  B
AP`  `  `  `  400`  B
AR`  `  `  `  400`  B
AS`  `  `  `  400`  B
AU`  `  `  `  400`  B
AV`  `  `  `  400`  B
B1`  `  `  `  400`  K
B1E`  `  `  `  400`  K
B2`  `  `  `  400`  K
B2E`  `  `  `  400`  K
B3`  `  `  `  400`  K
B3E`  `  `  `  400`  K
B4`  `  `  `  400`  K
BIND`  `  `  `  400`  C
BK1`  `  `  `  400`  L
BK3`  `  `  `  400`  L
BM1`  `  `  `  400`  L
BM3`  `  `  `  400`  L
BSC`  `  `  `  400`  C
BSVC`  `  `  `  400`  C
BSVO`  `  `  `  400`  C
BV`  `  01`  D`  400`  C
CBAR`  `  `  `  400`  H
CBFD`  `  `  `  400`  I
CBG0`  `  `  `  400`  H
CBII`  M`  `  `  400`  L
CBOS`  C`  `  `  400`  K
CBRE`  `  `  `  400`  H
CBSS`  C`  `  `  400`  K
CCFU`  `  01`  `  400`  C
CCIS`  `  01`  `  400`  C
CCLN`  `  01`  `  400`  C
CCPU`  `  01`  `  400`  H
CCRE`  `  01`  `  400`  H
CFB3`  `  `  `  400`  K
CFG2`  `  `  `  400`  K
CH`  `  `  `  400`  C
CLRP`  `  `  `  400`  H
CMDM`  `  `  `  400`  C
CMR`  `  `  `  400`  C
CMRC`  `  `  `  400`  C
CMRP`  `  `  `  400`  C
CRB`  M`  `  `  400`  K
DHU`  `  `  `  400`  C
DJIT`  `  `  `  400`  C
DL`  `  `  `  400`  C
DL2`  `  `  `  400`  C
DLR`  `  `  `  400`  C
DLRE`  `  `  `  400`  C
DMRB`  `  `  `  400`  C
DMRP`  `  `  `  400`  C
DMRR`  `  `  `  400`  C
DRB`  M`  `  `  400`  L
DZL`  `  `  `  400`  C
ED`  E`  `  `  400`  C
EDKO`  E`  `  `  400`  C
EO01`  `  `  `  400`  C
EOX1`  `  `  `  400`  A
FCQ`  `  01`  D`  400`
FCSO`  `  `  `  400`  C
FMSO`  `  `  `  400`  C
G2`  `  `  `  400`  K
G2LV`  `  `  `  400`  K
G2W`  `  `  `  400`  K
G2WT`  `  `  `  400`  K
GA2`  `  `  `  400`  K
GCQ`  `  01`  D`  400`  G
GCTA`  `  `  `  400`  C
GK`  `  `  `  400`  0
GOR`  `  01`  D`  400`  C
GPLM`  `  `  `  400`  I
