MANDT [C(00006)]`FRGKE [C(00002)]`KZFRE [C(00002)]`KZFAE [C(00002)]`TLFAE [P(00004)]
400`  0`  `  4`  0
400`  B`  `  4`  10
400`  G`  X`  2`  40
400`  R`  X`  1`  0
400`  Y`  X`  1`  1
