MANDT [C(00006)]`BUKRS [C(00008)]`TOLSL [C(00004)]`WERT1 [P(00013)]`XW1JA [C(00002)]`XW1NE [C(00002)]`WERT2 [P(00013)]`XW2JA [C(00002)]`XW2NE [C(00002)]`PROZ1 [P(00004)]`XP1JA [C(00002)]`XP1NE [C(00002)]`PROZ2 [P(00004)]`XP2JA [C(00002)]`XP2NE [C(00002)]
400`  0001`  AN`  0 `  `  X`  0 `  `  X`  0 `  `  X`  0 `  `  X
400`  0001`  AP`  0 `  `  X`  0 `  `  X`  0 `  `  X`  0 `  `  X
400`  0001`  B1`  0 `  `  X`  0 `  `  X`  50 `  X`  `  50 `  X`
400`  0001`  B2`  0 `  `  X`  0 `  `  X`  20 `  X`  `  20 `  X`
400`  0001`  BD`  2 `  X`  `  2 `  X`  `  0 `  `  X`  0 `  `  X
400`  0001`  BR`  0 `  `  X`  0 `  `  X`  25 `  X`  `  25 `  X`
400`  0001`  BW`  0 `  `  X`  0 `  `  X`  5 `  X`  `  2 `  X`
400`  0001`  DQ`  0 `  `  X`  0 `  X`  `  0 `  `  X`  0 `  `  X
400`  0001`  DW`  0 `  `  X`  0 `  `  X`  0 `  `  X`  0 `  `  X
400`  0001`  KW`  10 `  X`  `  5 `  X`  `  20 `  X`  `  5 `  X`
400`  0001`  PE`  0 `  `  X`  0 `  `  X`  20 `  X`  `  10 `  X`
400`  0001`  PP`  10 `  X`  `  5 `  X`  `  20 `  X`  `  5 `  X`
400`  0001`  PS`  10 `  X`  `  10 `  X`  `  10 `  X`  `  10 `  X`
400`  0001`  SE`  0 `  `  X`  0 `  `  X`  0 `  `  X`  10 `  X`
400`  0001`  ST`  0 `  `  X`  51 `  X`  `  0 `  `  X`  0 `  `  X
400`  M008`  PE`  0 `  `  X`  0 `  `  X`  20 `  X`  `  10 `  X`
400`  9999`  AN`  0 `  `  X`  0 `  `  X`  0 `  `  X`  0 `  `  X
400`  9999`  AP`  0 `  `  X`  0 `  `  X`  0 `  `  X`  0 `  `  X
400`  9999`  B1`  0 `  `  X`  0 `  `  X`  50 `  X`  `  50 `  X`
400`  9999`  B2`  0 `  `  X`  0 `  `  X`  20 `  X`  `  20 `  X`
400`  9999`  BD`  2 `  X`  `  2 `  X`  `  0 `  `  X`  0 `  `  X
400`  9999`  BR`  0 `  `  X`  0 `  `  X`  25 `  X`  `  25 `  X`
400`  9999`  BW`  0 `  `  X`  0 `  `  X`  5 `  X`  `  2 `  X`
400`  9999`  DQ`  0 `  `  X`  0 `  X`  `  0 `  `  X`  0 `  `  X
400`  9999`  DW`  0 `  `  X`  0 `  `  X`  0 `  `  X`  0 `  `  X
400`  9999`  KW`  10 `  X`  `  5 `  X`  `  20 `  X`  `  5 `  X`
400`  9999`  PE`  0 `  `  X`  0 `  `  X`  20 `  X`  `  10 `  X`
400`  9999`  PP`  10 `  X`  `  5 `  X`  `  20 `  X`  `  5 `  X`
400`  9999`  PS`  10 `  X`  `  10 `  X`  `  10 `  X`  `  10 `  X`
400`  9999`  SE`  0 `  `  X`  0 `  `  X`  0 `  `  X`  10 `  X`
400`  9999`  ST`  0 `  `  X`  51 `  X`  `  0 `  `  X`  0 `  `  X
400`  9999`  VP`  0 `  `  X`  0 `  `  X`  0 `  `  X`  25 `  X`
400`  1320`  PE`  100 `  `  X`  100 `  `  X`  20 `  X`  `  10 `  X`
400`  1320`  SE`  0 `  `  X`  0 `  `  X`  0 `  `  X`  10 `  X`
400`  1320`  AN`  0 `  `  X`  0 `  `  X`  0 `  `  X`  0 `  `  X
400`  PL01`  AN`  0 `  `  X`  0 `  `  X`  0 `  `  X`  0 `  `  X
400`  PL01`  AP`  0 `  `  X`  0 `  `  X`  0 `  `  X`  0 `  `  X
400`  PL01`  BD`  5 `  X`  `  5 `  X`  `  0 `  `  X`  0 `  `  X
400`  PL01`  BR`  0 `  `  X`  0 `  `  X`  25 `  X`  `  25 `  X`
400`  PL01`  BW`  0 `  `  X`  0 `  `  X`  5 `  X`  `  2 `  X`
400`  PL01`  DQ`  0 `  `  X`  0 `  X`  `  0 `  `  X`  0 `  `  X
400`  PL01`  DW`  0 `  `  X`  0 `  X`  `  0 `  `  X`  0 `  `  X
400`  PL01`  KW`  20 `  X`  `  10 `  X`  `  20 `  X`  `  5 `  X`
400`  PL01`  PP`  20 `  X`  `  10 `  X`  `  20 `  X`  `  5 `  X`
400`  PL01`  PS`  20 `  X`  `  20 `  X`  `  10 `  X`  `  10 `  X`
400`  PL01`  ST`  0 `  `  X`  100 `  X`  `  0 `  `  X`  0 `  `  X
400`  PL01`  VP`  0 `  `  X`  0 `  `  X`  0 `  `  X`  25 `  X`
400`  RECO`  AN`  0 `  `  X`  0 `  `  X`  0 `  `  X`  0 `  `  X
400`  RECO`  AP`  0 `  `  X`  0 `  `  X`  0 `  `  X`  0 `  `  X
400`  RECO`  B1`  0 `  `  X`  0 `  `  X`  50 `  X`  `  50 `  X`
400`  RECO`  B2`  0 `  `  X`  0 `  `  X`  20 `  X`  `  20 `  X`
400`  RECO`  BD`  2 `  X`  `  2 `  X`  `  0 `  `  X`  0 `  `  X
400`  RECO`  BR`  0 `  `  X`  0 `  `  X`  25 `  X`  `  25 `  X`
400`  RECO`  BW`  0 `  `  X`  0 `  `  X`  5 `  X`  `  2 `  X`
400`  RECO`  DQ`  0 `  `  X`  0 `  X`  `  0 `  `  X`  0 `  `  X
400`  RECO`  DW`  0 `  `  X`  0 `  `  X`  0 `  `  X`  0 `  `  X
