NAME [C(00080)]`OBJECT [C(00008)]`OBJ_NAME [C(00080)]
24C5FF492154C0D514800860096CFA`  IWSV`  LO_VCHCLF_GROUP_MAINTAIN_SRV       0001
24F9E07AB4D5ADB60653DFD45957A3`  IWSV`  MMIM_INVANALYST_OVP_SRV            0001
25A988208C3B622242DEF26C3E7FAB`  IWSV`  ICA_RECON_CASE_SRV                 0001
25DCE7FE8BA917B8D545D04B18ABBB`  IWSV`  ICL_WLM_TASKS                      0001
25F208BE5EE2B60CFF43A291211F76`  IWSV`  LO_SETMAN_SDOC_OPG                 0001
261EFEFB9977E9945AC2CB15F55A86`  IWSV`  MPE_WORKCENTER_OBJPG_SRV           0001
26A709B279BE44A8028D59339C1E2A`  IWSV`  MD_SUPPLIER_MAINTAIN_SRV           0001
26F64FCF8EF7132F66E336BBEEE3D8`  IWSV`  HRESS_TEAM_CALENDAR_SERVICE        0001
2957F5250A7025DE2A7BF8C0D6CAAB`  IWSV`  I_AIVS_AI_CDSINFO_TP_CDS           0001
29906FA954E9C2084E95AFA511FC11`  IWSV`  MATPLANTPURSOURCELIST_SRV          0001
2C59674B37D7A761445164B36C3156`  IWSV`  MM_PUR_QTN_MAINTAIN_SRV            0001
2CE9CE8C0E4B322701B6278C4BC122`  IWSV`  I_AIVS_AI_REPORT_TYPE_CDS          0001
2D67C255881C33C783C0360FEE5998`  IWSV`  LSO_JAM_WIDGET_SRV                 0001
2E1AD06F068524D53BE98A692D83E1`  IWSV`  LO_SETMAN_CCWF_RELRW               0001
2F51B35FEBCCAE091D21F67B1080AC`  IWSV`  I_FINPLANNINGENTRYITEMCUBE_CDS     0001
2FB9B89984EDEB3C4FEC3683D46882`  IWSV`  MPE_SFI_GENEALOGY_SRV              0001
30BEE28A3A9596D07BCCC8953F403A`  IWSV`  JIT_SUPPLY_TO_CUSTOMER_OVW_SRV     0001
317904FA0445F5072992A5D38A24A5`  IWSV`  MANAGE_INCOMING_FORMAT_SRV         0001
3180EE2F29CE1F898F715D7BAF6451`  IWSV`  LCM_TASK_MANAGE                    0001
332160C3FF4DF21445D9AEBC6AC20B`  IWSV`  HRESS_WRK_FEED_SUB_OVERVIEW_SERVICE0001
335ACDD172F36BFA9A687EC11A9C04`  IWSV`  ISU_UPIL_SRV                       0001
339242C5AF7167C79E7C0518532ADB`  IWSV`  MDG_BP_GENIL_SRV                   0001
33B25613814FAC4A4170804A250DE7`  IWSV`  I_PRODUCTHIERARCHYQUERY_CDS        0001
343D2CA7463B102D659B23603DF7B4`  IWSV`  MD_CUSTOMER_MASTER_SRV_01          0001
35596A413DAB68E9B34AA6D13B713C`  IWSV`  MM_PUR_SUPLRCONF_MNTR_SRV          0001
36C66CDDEA908BE17DF60B5BE16066`  IWSV`  I_FUNCTIONALLOCATION_CDS           0001
377EC950E452965630B8251ED70ECD`  IWSV`  MM_SUPPLIER_INVOICE_LIST_ENH_SRV   0001
379AB38906E7A66D764C6E32BB82C9`  IWSV`  MD_QC_CONTACT_SRV                  0001
395BA366BFDAC55B4DEF952AE55E35`  IWSV`  ISU_MR_IMPL_RESOLVE                0001
3D4E285772D05D4CB2E3CC36715513`  IWSV`  LO_SETMAN_WFVH                     0001
3D6F85346870A0AA59ADDDEDBA8FE3`  IWSV`  MDC_MANAGE_SOURCE_DATA_SRV         0001
3E2CAC23F3D00FB8747AC736174D69`  IWSV`  MMIM_OVERDUE_GRBLOCKED_SRV         0001
3EE2B870E068A033CEF8AF48927B98`  IWSV`  MMIM_MATDOC_OV_SRV                 0001
3EE306AA4680C7E7576DF07E58F29A`  IWSV`  MD_QC_PRODUCT_SRV                  0001
3EFCD0060C2C1640C2190D311AA8C7`  IWSV`  LO_SETMAN_CCWF_SREL                0001
3FB625F2B5061178A0B6071CE9C951`  IWSV`  MM_PUR_QTN_COMPARE_SRV             0001
4045D9058532B9913AAF5908E97168`  IWSV`  I_AIVS_LIST_CDS                    0001
409EC1C8D41FB709A6D74CF8D563F6`  IWSV`  MPE_QUALIFICATION_SRV              0001
40C71ED12063FF33386FD4AB6932D3`  IWSV`  LE_SHP_RETURNS_DELIVERY_FS_SRV     0001
415DB3CCFB6982989224D8775FBCAF`  IWSV`  LE_SHP_QC_DLVNOREF_SRV             0001
4267F45AAE0B95C924D0AB5C0E10EA`  IWSV`  MM_PUR_SUBCONTRGORD_MNTR_SRV       0001
44A3BB5019E277BA4EAF0988320910`  IWSV`  MPE_RTG_WORKLIST_DATEEFFCTY_SRV    0001
44E45E955CAF92A699D9E3DD230217`  IWSV`  MM_PUR_PROC_HUB_PRC_CMPRSN_SRV     0001
45450E197F498C7CC336D144063089`  IWSV`  JISOUTBOUNDDELIVERY_SRV            0001
4757B34A88F65A86D744DB18162221`  IWSV`  MPE_WI_LEGACY_SRV                  0001
476F1E3879E53FFE6BDF45D6592B2B`  IWSV`  ISU_UPIL_SRV_01                    0001
47E8F3BC6C383C30D7FCBBE7EB9D48`  IWSV`  MM_SUPPLIER_INVOICE_APPROVE        0001
47EF8797A4CC1B716BC7CF3D754C4F`  IWSV`  MM_IM_MANAGER_OVP_FILTER_SRV       0001
490F3D9D8A73C6E8D513F22AB70C7D`  IWSV`  LE_JIT_POST_STOCK_TRANSFER_SRV     0001
49435044E13EF343C234C5014DCF7B`  IWSV`  LXE_TEXT_TRACEABILITY_SRV          0001
