PATCH [C(00040)]`SHORT_TEXT [C(00120)]`STATUS [C(00002)]`IMPLE_DATE [D(00016)]`L_IMPL_REL [C(00008)]`DELIV_DATE [D(00016)]`IMPLE_TIME [T(00012)]`COMP_REL [C(00020)]`COMPONENT [C(00060)]
SAPKE60833`  SAP_HR 608: SP 0033`  I`  20170127`  751`  201`  152615`  608`  SAP_HR
SAPK-60022INFICAX`  SP 22 for FI-CAX 6.00`  I`  20130531`  740`  20120904`  135757`  600`  FI-CAX
SAPK-60022ININSURANC`  SP 22 for INSURANCE 6.00`  I`  20130531`  740`  20120904`  135758`  600`  INSURANCE
SAPK-60022INISH`  SP 22 for IS-H 6.00`  I`  20110810`  702`  201`  150228`  600`  IS-H
SAPK-60022INISM`  SP 22 for IS-M 6.00`  I`  20130531`  740`  20120904`  135801`  600`  IS-M
SAPK-60022INISOIL`  SP 22 for IS-OIL 6.00`  I`  20130531`  740`  20120904`  135802`  600`  IS-OIL
SAPK-60022INISPSCA`  SP 22 for IS-PS-CA 6.00`  I`  20130531`  740`  20120904`  135803`  600`  IS-PS-CA
SAPK-60022INISUT`  SP 22 for IS-UT 6.00`  I`  20130531`  740`  20120904`  135804`  600`  IS-UT
SAPK-60022INLSOFE`  LSOFE 600: Support Package 0022`  I`  20130531`  740`  20120917`  135805`  600`  LSOFE
SAPK-60023INERECRUIT`  ERECRUIT 600: Support Package 0023`  I`  20130531`  740`  20130211`  135819`  600`  ERECRUIT
SAPK-60833INEAHR`  EA-HR 608: SP 0033`  I`  20170127`  751`  201`  152616`  608`  EA-HR
SAPK-60023INFICAX`  SP 23 for FI-CAX 6.00`  I`  20130531`  740`  20130219`  135821`  600`  FI-CAX
SAPK-60023ININSURANC`  SP 23 for INSURANCE 6.00`  I`  20130531`  740`  20130219`  135822`  600`  INSURANCE
SAPK-60023INISH`  SP 23 for IS-H 6.00`  I`  20110810`  702`  201`  152541`  `
SAPK-60023INISM`  SP 23 for IS-M 6.00`  I`  20130531`  740`  20130219`  135825`  600`  IS-M
SAPK-60023INISOIL`  SP 23 for IS-OIL 6.00`  I`  20130531`  740`  20130219`  135826`  600`  IS-OIL
SAPK-60023INISPSCA`  SP 23 for IS-PS-CA 6.00`  I`  20130531`  740`  20130219`  135827`  600`  IS-PS-CA
SAPK-60023INISUT`  SP 23 for IS-UT 6.00`  I`  20130531`  740`  20130219`  135828`  600`  IS-UT
SAPK-60023INLSOFE`  LSOFE 600: Support Package 0023`  I`  20130531`  740`  20130211`  135829`  600`  LSOFE
SAPK-60024INERECRUIT`  ERECRUIT 600: Support Package 0024`  I`  20131128`  740`  20130807`  084417`  600`  ERECRUIT
SAPKE60834`  SAP_HR 608: SP 0034`  I`  20170127`  751`  201`  152617`  608`  SAP_HR
SAPK-60024INFICAX`  SP 24 for FI-CAX 6.00`  I`  20131128`  740`  20130813`  084419`  `
SAPK-60024ININSURANC`  SP 24 for INSURANCE 6.00`  I`  20131128`  740`  20130813`  084420`  `
SAPK-60024INISH`  SP 24 for IS-H 6.00`  I`  20110810`  702`  201`  152542`  600`  IS-H
SAPK-60024INISM`  SP 24 for IS-M 6.00`  I`  20131128`  740`  20130813`  084438`  `
SAPK-60024INISOIL`  SP 24 for IS-OIL 6.00`  I`  20131128`  740`  20130813`  084439`  `
SAPK-60024INISPSCA`  SP 24 for IS-PS-CA 6.00`  I`  20131128`  740`  20130813`  084440`  `
SAPK-60024INISUT`  SP 24 for IS-UT 6.00`  I`  20131128`  740`  20130813`  084441`  `
SAPK-60024INLSOFE`  LSOFE 600: Support Package 0024`  I`  20131128`  740`  20130807`  084442`  600`  LSOFE
SAPK-60025INERECRUIT`  ERECRUIT 600: Support Package 0025`  I`  20140805`  740`  201`  094238`  600`  ERECRUIT
SAPK-60834INEAHR`  EA-HR 608: SP 0034`  I`  20170127`  751`  201`  152618`  608`  EA-HR
SAPK-60025INFICAX`  SP 25 for FI-CAX 6.00`  I`  20140805`  740`  201`  094240`  `
SAPK-60025ININSURANC`  SP 25 for INSURANCE 6.00`  I`  20140805`  740`  201`  094241`  `
SAPK-60025INISH`  SP 25 for IS-H 6.00`  I`  20110810`  702`  20110201`  152543`  `
SAPK-60025INISM`  SP 25 for IS-M 6.00`  I`  20140805`  740`  201`  094246`  `
SAPK-60025INISOIL`  SP 25 for IS-OIL 6.00`  I`  20140805`  740`  201`  094247`  `
SAPK-60025INISPSCA`  SP 25 for IS-PS-CA 6.00`  I`  20140805`  740`  201`  094248`  `
SAPK-60025INISUT`  SP 25 for IS-UT 6.00`  I`  20140805`  740`  201`  094249`  `
SAPK-60025INLSOFE`  LSOFE 600: Support Package 0025`  I`  20140805`  740`  201`  094250`  600`  LSOFE
SAPK-60026INERECRUIT`  ERECRUIT 600: Support Package 0026`  I`  20141010`  740`  20140821`  194555`  600`  ERECRUIT
SAPKE60835`  SAP_HR 608: SP 0035`  I`  20170127`  751`  20161206`  152619`  608`  SAP_HR
SAPK-60026INFICAX`  SP 26 for FI-CAX 6.00`  I`  20141010`  740`  20140714`  194622`  600`  FI-CAX
SAPK-60026ININSURANC`  SP 26 for INSURANCE 6.00`  I`  20141010`  740`  20140714`  194623`  600`  INSURANCE
SAPK-60026INISH`  SP 26 for IS-H 6.00`  I`  20130531`  740`  20110313`  135705`  600`  IS-H
SAPK-60026INISM`  SP 26 for IS-M 6.00`  I`  20141010`  740`  20140714`  194625`  600`  IS-M
SAPK-60026INISOIL`  SP 26 for IS-OIL 6.00`  I`  20141010`  740`  20140714`  194626`  600`  IS-OIL
SAPK-60026INISPSCA`  SP 26 for IS-PS-CA 6.00`  I`  20141010`  740`  20140714`  194627`  600`  IS-PS-CA
SAPK-60026INISUT`  SP 26 for IS-UT 6.00`  I`  20141010`  740`  20140714`  194628`  600`  IS-UT
SAPK-60026INLSOFE`  LSOFE 600: Support Package 0026`  I`  20141010`  740`  20140821`  194556`  600`  LSOFE
SAPK-60027INISH`  SP 27 for IS-H 6.00`  I`  20130531`  740`  20110525`  135735`  600`  IS-H
SAPK-60028INISH`  SP 28 for IS-H 6.00`  I`  20130531`  740`  20110822`  135800`  600`  IS-H
SAPK-60029INISH`  SP 29 for IS-H 6.00`  I`  20130531`  740`  20111123`  135824`  600`  IS-H
SAPK-60030INISH`  SP 30 for IS-H 6.00`  I`  20130531`  740`  20120302`  135840`  600`  IS-H
SAPK-60031INISH`  SP 31 for IS-H 6.00`  I`  20130531`  740`  20120530`  135844`  600`  IS-H
SAPK-60032INISH`  SP 32 for IS-H 6.00`  I`  20130531`  740`  20120904`  135849`  600`  IS-H
SAPK-60033INISH`  SP 33 for IS-H 6.00`  I`  20130531`  740`  20121115`  135852`  600`  IS-H
SAPK-60034INISH`  SP 34 for IS-H 6.00`  I`  20130531`  740`  20130219`  135855`  600`  IS-H
SAPK-60035INISH`  SP 35 for IS-H 6.00`  I`  20131128`  740`  20130606`  084436`  600`  IS-H
SAPK-60036INISH`  SP 36 for IS-H 6.00`  I`  20131128`  740`  20130813`  084437`  `
SAPK-60037INISH`  SP 37 for IS-H 6.00`  I`  20140805`  740`  201`  094245`  600`  IS-H
SAPK-60038INISH`  SP 38 for IS-H 6.00`  I`  20141013`  740`  20140311`  105935`  600`  IS-H
SAPK-60039INISH`  SP 39 for IS-H 6.00`  I`  20141013`  740`  201`  105936`  600`  IS-H
SAPK-60040INISH`  SP 40 for IS-H 6.00`  I`  20141013`  740`  201`  105937`  `
SAPK-600AGINGBX01HR`  GBX01HR 600: Add-On Installation`  I`  20150713`  750`  20141212`  071316`  `
SAPK-600AGINSRA004`  SRA004 600: Add-On Installation`  I`  20160627`  751`  201`  105105`  `
SAPK-603DHINEADFPS`  EA-DFPS 603 Upgrade`  I`  20150226`  740`  20071119`  113306`  603`  EA-DFPS
SAPK-603DHINEAHR`  EA-HR 603 Upgrade`  I`  20150226`  740`  20071129`  113310`  603`  EA-HR
SAPK-603DHINEAPS`  EA-PS 603 Upgrade`  I`  20150226`  740`  20071119`  113311`  603`  EA-PS
SAPK-60835INEAHR`  EA-HR 608: SP 0035`  I`  20170127`  751`  20161206`  152620`  608`  EA-HR
SAPK-603DHINFICAX`  FI-CAX 603 Upgrade`  I`  20150226`  740`  20071121`  113318`  603`  FI-CAX
SAPK-603DHININSURANC`  INSURANCE 603 Upgrade`  I`  20150226`  740`  20071119`  113319`  603`  INSURANCE
SAPK-603DHINISH`  IS-H 603 Upgrade`  I`  20150226`  740`  20071119`  113320`  603`  IS-H
SAPK-603DHINISM`  IS-M 603 Upgrade`  I`  20150226`  740`  20071119`  113321`  603`  IS-M
SAPK-603DHINISOIL`  IS-OIL 603 Upgrade`  I`  20150226`  740`  20071127`  113322`  603`  IS-OIL
SAPK-603DHINISPSCA`  IS-PS-CA 603 Upgrade`  I`  20150226`  740`  20071119`  113323`  603`  IS-PS-CA
SAPK-603DHINISUT`  IS-UT 603 Upgrade`  I`  20150226`  740`  20071121`  113324`  603`  IS-UT
SAPK-603DIINERECRUIT`  ERECRUIT 603 Add on Delta upgrade`  I`  20150226`  740`  20071203`  113316`  603`  ERECRUIT
SAPK-603DIINLSOFE`  LSOFE 603: Add-On Upgrade`  I`  20150226`  740`  20071120`  113325`  603`  LSOFE
SAPK-604BGINERECRUIT`  ERECRUIT 604: Add-On Upgrade`  I`  20150226`  740`  20080827`  113345`  604`  ERECRUIT
SAPK-604BGINLSOFE`  LSOFE 604: Add-On Upgrade`  I`  20150226`  740`  20080827`  113356`  604`  LSOFE
SAPK-604DHINEADFPS`  EA-DFPS 604 Upgrade`  I`  20150226`  740`  20081006`  113334`  604`  EA-DFPS
SAPK-604DHINEAHR`  EA-HR 604 Upgrade`  I`  20150226`  740`  20081006`  113338`  604`  EA-HR
SAPK-604DHINEAPS`  EA-PS 604 Upgrade`  I`  20150226`  740`  20080825`  113339`  604`  EA-PS
SAPKE60836`  SAP_HR 608: SP 0036`  I`  20170127`  751`  20161215`  152621`  608`  SAP_HR
SAPK-604DHINFICAX`  FI-CAX 604 Upgrade`  I`  20150226`  740`  20080826`  113347`  604`  FI-CAX
SAPK-604DHININSURANC`  INSURANCE 604 Upgrade`  I`  20150226`  740`  20080825`  113348`  604`  INSURANCE
SAPK-604DHINISH`  IS-H 604 Upgrade`  I`  20150226`  740`  20081006`  113350`  604`  IS-H
SAPK-604DHINISM`  IS-M 604 Upgrade`  I`  20150226`  740`  20080826`  113351`  604`  IS-M
SAPK-604DHINISOIL`  IS-OIL 604 Upgrade`  I`  20150226`  740`  20080825`  113352`  604`  IS-OIL
SAPK-604DHINISPRA`  IS-PRA 604 Upgrade`  I`  20150226`  740`  20080825`  113353`  604`  IS-PRA
SAPK-604DHINISPSCA`  IS-PS-CA 604 Upgrade`  I`  20150226`  740`  20080825`  113354`  604`  IS-PS-CA
SAPK-604DHINISUT`  IS-UT 604 Upgrade`  I`  20150226`  740`  20080826`  113355`  604`  IS-UT
SAPK-604DHINSAPHR`  SAP_HR 604 Upgrade`  I`  20150226`  740`  20081006`  113304`  604`  SAP_HR
SAPK-60501INECCSE`  ECC-SE 605: SP 0001`  I`  20150226`  740`  20100512`  113846`  605`  ECC-SE
SAPK-60501INGBX01HR5`  GBX01HR5 605: Support Package 0001`  I`  20150713`  750`  20150618`  071320`  605`  GBX01HR5
SAPK-60502INECCSE`  ECC-SE 605: SP 0002`  I`  20150226`  740`  20101001`  113848`  605`  ECC-SE
SAPK-60502INGBX01HR5`  GBX01HR5 605: Support Package 0002`  I`  20160524`  751`  201`  130257`  605`  GBX01HR5
SAPK-60503INECCSE`  ECC-SE 605: SP 0003`  I`  20150226`  740`  20101116`  113850`  605`  ECC-SE
SAPK-60503INGBX01HR5`  GBX01HR5 605: Support Package 0003`  I`  20160805`  751`  20160624`  065103`  605`  GBX01HR5
SAPK-60504INECCSE`  ECC-SE 605: SP 0004`  I`  20150226`  740`  20110411`  113852`  605`  ECC-SE
SAPK-60505INECCSE`  ECC-SE 605: SP 0005`  I`  20150226`  740`  20110627`  113854`  605`  ECC-SE
SAPK-60506INECCSE`  ECC-SE 605: SP 0006`  I`  20150226`  740`  20110908`  113856`  605`  ECC-SE
SAPK-60507INECCSE`  ECC-SE 605: SP 0007`  I`  20150226`  740`  20111219`  113858`  605`  ECC-SE
SAPK-60508INECCSE`  ECC-SE 605: SP 0008`  I`  20150226`  740`  20120402`  113900`  605`  ECC-SE
SAPK-60509INECCSE`  ECC-SE 605: SP 0009`  I`  20150226`  740`  20121008`  113902`  605`  ECC-SE
SAPK-60510INECCSE`  ECC-SE 605: SP 0010`  I`  20150226`  740`  20130321`  113904`  605`  ECC-SE
SAPK-60511INECCSE`  ECC-SE 605: SP 0011`  I`  20150226`  740`  20130918`  113906`  605`  ECC-SE
SAPK-60512INECCSE`  ECC-SE 605: SP 0012`  I`  20150226`  740`  20140325`  113908`  605`  ECC-SE
SAPK-60513INECCSE`  ECC-SE 605: SP 0013`  I`  20150226`  740`  20140823`  113910`  605`  ECC-SE
SAPK-60514INECCSE`  ECC-SE 605: SP 0014`  I`  20150811`  750`  20150811`  145357`  605`  ECC-SE
SAPK-605AGINGBX01HR5`  GBX01HR5 605: Add-On Installation`  I`  20150713`  750`  20141215`  071317`  `
SAPK-605BGINERECRUIT`  ERECRUIT  605:  Upgrade`  I`  20150226`  740`  20100325`  113416`  605`  ERECRUIT
SAPK-605BGINLSOFE`  LSOFE 605:  Add-On Upgrade`  I`  20150226`  740`  20100326`  113427`  605`  LSOFE
SAPK-605DHINEADFPS`  EA-DFPS 605 Upgrade`  I`  20150226`  740`  20100326`  113405`  605`  EA-DFPS
SAPK-605DHINEAHR`  EA-HR 605 Upgrade`  I`  20150226`  740`  20100427`  113843`  605`  EA-HR
SAPK-605DHINEAPS`  EA-PS 605 Upgrade`  I`  20150226`  740`  20100326`  113410`  605`  EA-PS
SAPK-60836INEAHR`  EA-HR 608: SP 0036`  I`  20170127`  751`  20161215`  152622`  608`  EA-HR
SAPK-605DHINFICAX`  FI-CAX 605 Upgrade`  I`  20150226`  740`  20100326`  113418`  605`  FI-CAX
SAPK-605DHININSURANC`  INSURANCE 605 Upgrade`  I`  20150226`  740`  20100326`  113419`  605`  INSURANCE
SAPK-605DHINISH`  IS-H 605 Upgrade`  I`  20150226`  740`  20100325`  113421`  605`  IS-H
SAPK-605DHINISM`  IS-M 605 Upgrade`  I`  20150226`  740`  20100326`  113422`  605`  IS-M
SAPK-605DHINISOIL`  IS-OIL 605 Upgrade`  I`  20150226`  740`  20100325`  113423`  605`  IS-OIL
SAPK-605DHINISPRA`  IS-PRA 605 Upgrade`  I`  20150226`  740`  20100325`  113424`  605`  IS-PRA
SAPK-605DHINISPSCA`  IS-PS-CA 605 Upgrade`  I`  20150226`  740`  20100326`  113425`  605`  IS-PS-CA
SAPK-605DHINISUT`  IS-UT 605 Upgrade`  I`  20150226`  740`  20100629`  113426`  605`  IS-UT
SAPK-605IHINECCSE`  ECC-SE 605: Add-On Installation`  I`  20150226`  740`  20100324`  113844`  605`  ECC-SE
SAPK-60601INMDGAPPL`  MDG_APPL 606: SP 0001`  I`  20130528`  731`  20110929`  121737`  606`  MDG_APPL
SAPK-60602INMDGAPPL`  MDG_APPL 606: SP 0002`  I`  20130528`  731`  201`  121742`  606`  MDG_APPL
SAPK-606BGINLSOFE`  LSOFE 606 Upgrade`  I`  20150226`  740`  20111018`  113455`  606`  LSOFE
SAPK-606BHINEADFPS`  EA-DFPS 606 Upgrade`  I`  20150226`  740`  20111018`  113434`  606`  EA-DFPS
SAPK-606BHINEAHR`  EA-HR 606 Upgrade`  I`  20150226`  740`  20111018`  113916`  606`  EA-HR
SAPK-606BHINEAPS`  EA-PS 606 Upgrade`  I`  20150226`  740`  20111018`  113438`  606`  EA-PS
SAPK-606BHINERECRUIT`  ERECRUIT 606 Upgrade`  I`  20150226`  740`  20111018`  113444`  606`  ERECRUIT
SAPKE60837`  SAP_HR 608: SP 0037`  I`  20170127`  751`  20170116`  152623`  608`  SAP_HR
SAPK-606BHINFICAX`  FI-CAX 606 Upgrade`  I`  20150226`  740`  20111018`  113446`  606`  FI-CAX
SAPK-606BHININSURANC`  INSURANCE 606 Upgrade`  I`  20150226`  740`  20111018`  113447`  606`  INSURANCE
SAPK-606BHINISH`  IS-H 606 Upgrade`  I`  20150226`  740`  20111018`  113449`  606`  IS-H
SAPK-606BHINISM`  IS-M 606 Upgrade`  I`  20150226`  740`  20111018`  113450`  606`  IS-M
SAPK-606BHINISOIL`  IS-OIL 606 Upgrade`  I`  20150226`  740`  20111018`  113451`  606`  IS-OIL
SAPK-606BHINISPRA`  IS-PRA 606 Upgrade`  I`  20150226`  740`  20111018`  113452`  606`  IS-PRA
SAPK-606BHINISPSCA`  IS-PS-CA 606 Upgrade`  I`  20150226`  740`  20111018`  113453`  606`  IS-PS-CA
SAPK-606BHINISUT`  IS-UT 606 Upgrade`  I`  20150226`  740`  20111018`  113454`  606`  IS-UT
SAPK-606BHINMDGAPPL`  MDG_APPL 606 Installation`  I`  20110909`  731`  20110819`  113046`  606`  MDG_APPL
SAPK-60701INEAHR`  EA-HR 607: SP 0001`  I`  20150226`  740`  20120706`  113931`  607`  EA-HR
SAPK-60702INEAHR`  EA-HR 607: SP 0002`  I`  20150226`  740`  20120806`  113933`  607`  EA-HR
SAPK-60703INEAHR`  EA-HR 607: SP 0003`  I`  20150226`  740`  20120911`  113935`  607`  EA-HR
SAPK-60704INEAHR`  EA-HR 607: SP 0004`  I`  20150226`  740`  20121008`  113937`  607`  EA-HR
SAPK-60705INEAHR`  EA-HR 607: SP 0005`  I`  20150226`  740`  20121109`  113939`  607`  EA-HR
SAPK-60706INEAHR`  EA-HR 607: SP 0006`  I`  20150226`  740`  20121205`  113941`  607`  EA-HR
SAPK-60707INEAHR`  EA-HR 607: SP 0007`  I`  20150226`  740`  20121214`  113944`  607`  EA-HR
SAPK-60708INEAHR`  EA-HR 607: SP 0008`  I`  20150226`  740`  20130122`  113946`  607`  EA-HR
SAPK-60709INEAHR`  EA-HR 607: SP 0009`  I`  20150226`  740`  20130212`  113948`  607`  EA-HR
SAPK-60710INEAHR`  EA-HR 607: SP 0010`  I`  20150226`  740`  20130315`  113950`  607`  EA-HR
SAPK-60711INEAHR`  EA-HR 607: SP 0011`  I`  20150226`  740`  20130410`  113952`  607`  EA-HR
SAPK-60712INEAHR`  EA-HR 607: SP 0012`  I`  20150226`  740`  20130507`  113954`  607`  EA-HR
SAPK-60713INEAHR`  EA-HR 607: SP 0013`  I`  20150226`  740`  20130611`  113956`  607`  EA-HR
SAPK-60714INEAHR`  EA-HR 607: SP 0014`  I`  20150226`  740`  20130710`  113958`  607`  EA-HR
SAPK-60715INEAHR`  EA-HR 607: SP 0015`  I`  20150226`  740`  20130806`  114000`  607`  EA-HR
SAPK-60716INEAHR`  EA-HR 607: SP 0016`  I`  20150226`  740`  20130911`  114002`  607`  EA-HR
SAPK-60717INEAHR`  EA-HR 607: SP 0017`  I`  20150226`  740`  20131009`  114004`  607`  EA-HR
SAPK-60718INEAHR`  EA-HR 607: SP 0018`  I`  20150226`  740`  20131113`  114006`  607`  EA-HR
SAPK-60719INEAHR`  EA-HR 607: SP 0019`  I`  20150226`  740`  20131204`  114008`  607`  EA-HR
SAPK-60720INEAHR`  EA-HR 607: SP 0020`  I`  20150226`  740`  20131213`  114010`  607`  EA-HR
SAPK-60721INEAHR`  EA-HR 607: SP 0021`  I`  20150226`  740`  20140122`  114012`  607`  EA-HR
SAPK-60722INEAHR`  EA-HR 607: SP 0022`  I`  20150226`  740`  20140212`  114014`  607`  EA-HR
SAPK-60723INEAHR`  EA-HR 607: SP 0023`  I`  20150226`  740`  20140312`  114016`  607`  EA-HR
SAPK-60724INEAHR`  EA-HR 607: SP 0024`  I`  20150226`  740`  20140409`  114018`  607`  EA-HR
SAPK-60725INEAHR`  EA-HR 607: SP 0025`  I`  20150226`  740`  20140514`  114020`  607`  EA-HR
SAPK-60726INEAHR`  EA-HR 607: SP 0026`  I`  20150226`  740`  20140613`  114022`  607`  EA-HR
SAPK-60727INEAHR`  EA-HR 607: SP 0027`  I`  20150226`  740`  20140708`  114024`  607`  EA-HR
SAPK-60728INEAHR`  EA-HR 607: SP 0028`  I`  20150226`  740`  20140811`  114026`  607`  EA-HR
SAPK-60729INEAHR`  EA-HR 607: SP 0029`  I`  20150226`  740`  20140909`  114028`  607`  EA-HR
SAPK-60730INEAHR`  EA-HR 607: SP 0030`  I`  20150226`  740`  20141008`  114030`  607`  EA-HR
SAPK-60731INEAHR`  EA-HR 607: SP 0031`  I`  20150226`  740`  20141112`  114032`  607`  EA-HR
SAPK-60732INEAHR`  EA-HR 607: SP 0032`  I`  20150226`  740`  20141202`  114034`  607`  EA-HR
SAPK-607BHINEAHR`  EA-HR 607 Upgrade`  I`  20150226`  740`  20120608`  113928`  607`  EA-HR
SAPK-60801INEAHR`  EA-HR 608: SP 0001`  I`  20150528`  740`  20140409`  181146`  608`  EA-HR
SAPK-60802INEAHR`  EA-HR 608: SP 0002`  I`  20150528`  740`  20140516`  181148`  608`  EA-HR
SAPK-60803INEAHR`  EA-HR 608: SP 0003`  I`  20150528`  740`  201`  181150`  608`  EA-HR
SAPK-60804INEAHR`  EA-HR 608: SP 0004`  I`  20150528`  740`  201`  181152`  608`  EA-HR
SAPK-60805INEAHR`  EA-HR 608: SP 0005`  I`  20150528`  740`  201`  181154`  608`  EA-HR
SAPK-60806INEAHR`  EA-HR 608: SP 0006`  I`  20150528`  740`  20140910`  181156`  608`  EA-HR
SAPK-60807INEAHR`  EA-HR 608: SP 0007`  I`  20150528`  740`  20141008`  181158`  608`  EA-HR
SAPK-60808INEAHR`  EA-HR 608: SP 0008`  I`  20150528`  740`  20141111`  181200`  608`  EA-HR
SAPK-60809INEAHR`  EA-HR 608: SP 0009`  I`  20150528`  740`  201`  181202`  608`  EA-HR
SAPK-60810INEAHR`  EA-HR 608: SP 0010`  I`  20150528`  740`  201`  181204`  608`  EA-HR
SAPK-60811INEAHR`  EA-HR 608: SP 0011`  I`  20150528`  740`  201`  181206`  608`  EA-HR
SAPK-60812INEAHR`  EA-HR 608: SP 0012`  I`  20150528`  740`  201`  181208`  608`  EA-HR
SAPK-60813INEAHR`  EA-HR 608: SP 0013`  I`  20150811`  750`  20150811`  164122`  608`  EA-HR
SAPK-60814INEAHR`  EA-HR 608: SP 0014`  I`  20150811`  750`  20150811`  164122`  608`  EA-HR
SAPK-60815INEAHR`  EA-HR 608: SP 0015`  I`  20150811`  750`  20150811`  164122`  608`  EA-HR
SAPK-60816INEAHR`  EA-HR 608: SP 0016`  I`  20150811`  750`  20150609`  164122`  608`  EA-HR
SAPK-60817INEAHR`  EA-HR 608: SP 0017`  I`  20150811`  750`  20150708`  164122`  608`  EA-HR
SAPK-60818INEAHR`  EA-HR 608: SP 0018`  I`  20150811`  750`  20150806`  164122`  608`  EA-HR
SAPK-60819INEAHR`  EA-HR 608: SP 0019`  I`  20150909`  750`  20150908`  085607`  608`  EA-HR
SAPK-60820INEAHR`  EA-HR 608: SP 0020`  I`  20160404`  751`  201`  171449`  608`  EA-HR
SAPK-60821INEAHR`  EA-HR 608: SP 0021`  I`  20160404`  751`  201`  171451`  608`  EA-HR
SAPK-60822INEAHR`  EA-HR 608: SP 0022`  I`  20160404`  751`  201`  171453`  608`  EA-HR
SAPK-60823INEAHR`  EA-HR 608: SP 0023`  I`  20160404`  751`  201`  171455`  608`  EA-HR
SAPK-60824INEAHR`  EA-HR 608: SP 0024`  I`  20160404`  751`  201`  171457`  608`  EA-HR
SAPK-60825INEAHR`  EA-HR 608: SP 0025`  I`  20160404`  751`  201`  171459`  608`  EA-HR
SAPK-60826INEAHR`  EA-HR 608: SP 0026`  I`  20160404`  751`  20160307`  171501`  608`  EA-HR
SAPK-60827INEAHR`  EA-HR 608: SP 0027`  I`  20160408`  751`  20160407`  171501`  608`  EA-HR
SAPK-60828INEAHR`  EA-HR 608: SP 0028`  I`  20160508`  751`  20160507`  171501`  608`  EA-HR
SAPK-60829INEAHR`  EA-HR 608: SP 0029`  I`  20160805`  751`  20160606`  065105`  608`  EA-HR
SAPK-60830INEAHR`  EA-HR 608: SP 0030`  I`  20160805`  751`  20160713`  065107`  608`  EA-HR
SAPK-608BHINEAHR`  EA-HR 608`  I`  20150528`  740`  201`  181144`  `
SAPK-608BHINSAPHR`  SAP_HR 608`  I`  20150528`  740`  201`  181143`  `
SAPK-61701INEADFPS`  EA-DFPS 617: SP 0001`  I`  20150226`  740`  20130704`  113528`  617`  EA-DFPS
SAPK-61701INEAPS`  EA-PS 617: SP 0001`  I`  20150226`  740`  20130704`  113532`  617`  EA-PS
SAPK-61701INERECRUIT`  ERECRUIT 617: SP 0001`  I`  20150226`  740`  20130716`  113540`  617`  ERECRUIT
SAPK-60837INEAHR`  EA-HR 608: SP 0037`  I`  20170127`  751`  20170116`  152624`  608`  EA-HR
SAPK-61701INFICAX`  FI-CAX 617: SP 0001`  I`  20150226`  740`  20130704`  113542`  617`  FI-CAX
SAPK-61701ININSURANC`  INSURANCE 617: SP 0001`  I`  20150226`  740`  20130704`  113543`  617`  INSURANCE
SAPK-61701INISH`  IS-H 617: SP 0001`  I`  20150226`  740`  20130704`  113545`  617`  IS-H
SAPK-61701INISM`  IS-M 617: SP 0001`  I`  20150226`  740`  20130704`  113546`  617`  IS-M
SAPK-61701INISOIL`  IS-OIL 617: SP 0001`  I`  20150226`  740`  20130704`  113614`  617`  IS-OIL
SAPK-61701INISPRA`  IS-PRA 617: SP 0001`  I`  20150226`  740`  20130704`  113547`  617`  IS-PRA
SAPK-61701INISPSCA`  IS-PS-CA 617: SP 0001`  I`  20150226`  740`  20130704`  113548`  617`  IS-PS-CA
SAPK-61701INISUT`  IS-UT 617: SP 0001`  I`  20150226`  740`  20130704`  113549`  617`  IS-UT
SAPK-61701INLSOFE`  LSOFE 617: SP 0001`  I`  20150226`  740`  20130704`  113550`  617`  LSOFE
SAPK-61701INMDGAPPL`  MDG_APPL 617: SP 0001`  I`  20131128`  740`  20130704`  084516`  617`  MDG_APPL
SAPK-61702INEADFPS`  EA-DFPS 617: SP 0002`  I`  20150226`  740`  20131105`  113555`  617`  EA-DFPS
SAPK-61702INEAPS`  EA-PS 617: SP 0002`  I`  20150226`  740`  20131105`  113559`  617`  EA-PS
SAPK-61702INERECRUIT`  ERECRUIT 617: SP 0002`  I`  20150226`  740`  20131107`  113607`  617`  ERECRUIT
SAPK-74005INSTPI`  ST-PI 740: SP 0005`  I`  20170421`  752`  20161208`  103348`  740`  ST-PI
SAPK-61702INFICAX`  FI-CAX 617: SP 0002`  I`  20150226`  740`  20131105`  113609`  617`  FI-CAX
SAPK-61702ININSURANC`  INSURANCE 617: SP 0002`  I`  20150226`  740`  20131105`  113610`  617`  INSURANCE
SAPK-61702INISH`  IS-H 617: SP 0002`  I`  20150226`  740`  20131105`  113612`  617`  IS-H
SAPK-61702INISM`  IS-M 617: SP 0002`  I`  20150226`  740`  20131105`  113613`  617`  IS-M
SAPK-61702INISOIL`  IS-OIL 617: SP 0002`  I`  20150226`  740`  20131105`  113643`  617`  IS-OIL
SAPK-61702INISPRA`  IS-PRA 617: SP 0002`  I`  20150226`  740`  20131105`  113615`  617`  IS-PRA
SAPK-61702INISPSCA`  IS-PS-CA 617: SP 0002`  I`  20150226`  740`  20131105`  113616`  617`  IS-PS-CA
SAPK-61702INISUT`  IS-UT 617: SP 0002`  I`  20150226`  740`  20131105`  113617`  617`  IS-UT
SAPK-61702INLSOFE`  LSOFE 617: SP 0002`  I`  20150226`  740`  20131219`  113618`  617`  LSOFE
SAPK-61702INMDGAPPL`  MDG_APPL 617: SP 0002`  I`  20131128`  740`  20131107`  084518`  617`  MDG_APPL
