PATCH [C(00040)]`SHORT_TEXT [C(00120)]`STATUS [C(00002)]`IMPLE_DATE [D(00016)]`L_IMPL_REL [C(00008)]`DELIV_DATE [D(00016)]`IMPLE_TIME [T(00012)]`COMP_REL [C(00020)]`COMPONENT [C(00060)]
SAPK-60004ININSURANC`  SP 04 for INSURANCE 6.00`  I`  20060703`  700`  200`  165302`  `
SAPK-60004INISH`  SP 04 for IS-H 6.00`  I`  20060703`  700`  200`  172247`  `
SAPK-60004INISM`  SP 04 for IS-M 6.00`  I`  20060703`  700`  200`  172243`  `
SAPK-60004INISOIL`  SP 04 for IS-OIL 6.00`  I`  20060703`  700`  200`  172244`  `
SAPK-60004INISPSCA`  SP 04 for IS-PS-CA 6.00`  I`  20060703`  700`  200`  172245`  `
SAPK-60004INISUT`  SP 04 for IS-UT 6.00`  I`  20060703`  700`  200`  172246`  `
SAPK-60004INLSOFE`  LSOFE 600: patch 0004`  I`  20060703`  700`  200`  163226`  600`  LSOFE
SAPK-60004INSRA004`  SRA004 600: Support Package 0004`  I`  20160627`  751`  201`  105109`  600`  SRA004
SAPK-60005INERECRUIT`  ERECRUIT 600: patch 0005`  I`  20060711`  700`  200`  154146`  600`  ERECRUIT
SAPK-200COINMSGPMCON`  MSGPMCON 200: Add-On Installation`  I`  20170426`  752`  201`  141804`  `
SAPK-60005INFICAX`  SP 05 for FI-CAX 6.00`  I`  20060711`  700`  200`  154141`  `
SAPK-60005INGBX01HR`  GBX01HR 600: Support Package 0005`  I`  20160805`  751`  20160624`  065102`  600`  GBX01HR
SAPK-60005ININSURANC`  SP 05 for INSURANCE 6.00`  I`  20060711`  700`  200`  154140`  `
SAPK-60005INISH`  SP 05 for IS-H 6.00`  I`  20060711`  700`  200`  154139`  `
SAPK-60005INISM`  SP 05 for IS-M 6.00`  I`  20060711`  700`  200`  154135`  `
SAPK-60005INISOIL`  SP 05 for IS-OIL 6.00`  I`  20060711`  700`  200`  154136`  `
SAPK-60005INISPSCA`  SP 05 for IS-PS-CA 6.00`  I`  20060711`  700`  20060630`  154137`  `
SAPK-60005INISUT`  SP 05 for IS-UT 6.00`  I`  20060711`  700`  200`  154138`  `
SAPK-60005INLSOFE`  LSOFE 600: patch 0005`  I`  20060711`  700`  200`  154142`  600`  LSOFE
SAPK-60005INSRA004`  SRA004 600: Support Package 0005`  I`  20160627`  751`  201`  105110`  600`  SRA004
SAPK-60006INERECRUIT`  ERECRUIT 600: patch 0006`  I`  20060920`  700`  200`  161557`  600`  ERECRUIT
SAPK-20001INMSGPMCON`  MSGPMCON 200: Patch 0001`  I`  20170426`  752`  201`  141805`  200`  MSGPMCON
SAPK-60006INFICAX`  SP 06 for FI-CAX 6.00`  I`  20060920`  700`  200`  161556`  `
SAPK-60006ININSURANC`  SP 06 for INSURANCE 6.00`  I`  20060920`  700`  200`  161555`  `
SAPK-60006INISH`  SP 06 for IS-H 6.00`  I`  20060920`  700`  200`  161553`  `
SAPK-60006INISM`  SP 06 for IS-M 6.00`  I`  20060920`  700`  200`  161546`  `
SAPK-60006INISOIL`  SP 06 for IS-OIL 6.00`  I`  20060920`  700`  200`  161547`  `
SAPK-60006INISPSCA`  SP 06 for IS-PS-CA 6.00`  I`  20060920`  700`  200`  161548`  `
SAPK-60006INISUT`  SP 06 for IS-UT 6.00`  I`  20060920`  700`  200`  161549`  `
