TableName`RecordCount
AGR_1016`2767
AGR_1251`272460
AGR_1252`4438
AGR_AGRS`4811
AGR_USERS`32342
CWBNTCUST`588
CWBNTHEAD`
DEVACCESS`0
PAHI`5021
T000`5
T001`386
TADIR`1
TDDAT`107204
TRDIR`187237
TSTC`158798
TSTCA`0
TSTCP`25248
TSTCT`77
USORG`47
USR02`706
USR02_CC`1188
USR10`2162
USR21`706
USREFUS`706
USRFLDGRP`71
ANLA`1
ANKA`117
ANKB`13039
ANKT`38
ANLB`351
C001`3136
C002`1600
C003`652
C004`501
C005`3396
MARV`177
NRIV`27022
SKA1`45219
SKAT`39304
SKB1`102507
T001B`907
T001R`53
T001W`192
T003`118
T003T`116
T004`203
T004T`93
T009`49
T009B`782
T009T`35
T030`18094
T030B`1
T030H`540
T030R`3697
T030S`73
T030W`211
KNKK`7
T043G`712
T043GT`427
T043T`223
T055F`0
T077D`126
T077K`104
T077X`63
T077Y`49
T082A`94
T082B`140
T082G`10794
T082H`77
T082L`24
T082M`23
T082T`139
T090`594
T090NA`4441
T090NAT`4394
T090NAZ`7183
T090NDT`450
T090NPT`697
T090NRT`44
T090NST`3291
T091T`13
T093`190
T093C`97
T093D`191
T095`637
T095B`643
T095T`65
T096`116
T096T`115
T100`14049
T100C`2
T100S`3237
T156`329
T156T`2712
T156W`115
T156X`6512
T159C`40
T159L`131
T160M`6
T161`104
T161S`7
T161T`61
T162`152
T162K`19
T162T`152
T162X`345
T162Y`24
T163`13
T163A`68
T163K`20
T163I`13
T163Y`
T169G`2121
T169P`142
T16FB`5
T16FC`7
T16FE`3
T16FG`3
T16FK`11
T16FS`4
T16FV`6
T683S`18511
T683V`1179
T685A`2246
T691F`54
T691G`47
TBAER`294
TBSL`65
TBSLT`143
TCDOB`1
TCURF`9750
TKA01`133
TKA02`204
TMC4`1
TVAK`276
TVAKT`269
TVAP`548
TVAPT`502
TVCPF`48534
TVCPL`60401
TVFK`126
TVFKT`120
TVLKT`99
LFA1`813
LFB1`754
CVERS`151
CVERS_REF`33
PRDVERS`19
TRDIRT`85554
T683T`12232
T687T`518
TVKO`108
USRFLDSEL`0
UST04`21726
UST10C`1346
UST10S`48761
UST12`192440
USOBT_C`552788
adrp`702
CDHDR`647
CDPOS`633
DD02L`814692
TVDIR`3655
OBJH`63717
DD02T`804530
DD03L`92
E070`33
E07T`3
SSM_CIDT`2
PAT03`1589
PRGN_CUST`0
EDIDS`
TEDS2`69
EDIDC`60
EDBAST`2514
EDIMSGT`1872
T685`2658
T682I`1606
SEC_POLICY_RT`22
SEC_POLICY_CUSTT`0
TPALOG`0
TVIMF`5
USH02`645
USH04`1
USR04`706
TBTCO`0
AGR_TEXTS`5086
RSAUPROF`3
SAPWLSERV`1
DD09L`11
TSL1D`2063
TSL1T`2061
USOBHASH`7084
Start Time`225018
End Time`225557
