TABNAME [C(00060)]`FIELDNAME [C(00060)]`ROLLNAME [C(00060)]
ANLZ`  MANDT`  MANDT
ANLZ`  BUKRS`  BUKRS
ANLZ`  ANLN1`  ANLN1
ANLZ`  ANLN2`  ANLN2
ANLZ`  BDATU`  BDATU
ANLZ`  ADATU`  ADATU
ANLZ`  KOSTL`  KOSTL
ANLZ`  WERKS`  WERKS_D
ANLZ`  GSBER`  GSBER
ANLZ`  LSTAR`  LSTAR
ANLZ`  MSFAK`  MSFAK
ANLZ`  XSTIL`  XSTIL
ANLZ`  STORT`  STORT
ANLZ`  CAUFN`  CAUFN
ANLZ`  PLAN1`  PLAN1
ANLZ`  PLAN2`  PLAN2
ANLZ`  RAUMN`  RAUMNR
ANLZ`  IAUFN`  IAUFN
ANLZ`  IPROJ`  PROJN
ANLZ`  TPLKZ`  FILL03
ANLZ`  TPLNR`  TPLNR
ANLZ`  ANUPD`  ANUPD
ANLZ`  TXJCD`  TXJCD
ANLZ`  IPSNR`  AM_IPSNR
ANLZ`  KFZKZ`  AM_KFZKZ
ANLZ`  PERNR`  PERNR_D
ANLZ`  KOSTLV`  KOSTLV
ANLZ`  .INCLUDE`
ANLZ`  FISTL`  FISTL
ANLZ`  GEBER`  BP_GEBER
ANLZ`  FKBER`  FKBER
ANLZ`  .INCLUDE`
ANLZ`  GRANT_NBR`  GM_GRANT_NBR
ANLZ`  GEBER2`  BP_GEBER2
ANLZ`  FKBER2`  FKBER2
ANLZ`  GRANT_NBR2`  GM_GRANT_NBR2
ANLZ`  FISTL2`  FISTL2
ANLZ`  IMKEY`  IMKEY
ANLZ`  PS_PSP_PNR2`  PS_PSP_PNR2
ANLZ`  BUDGET_PD`  FM_BUDGET_PERIOD
ANLZ`  BUDGET_PD2`  FM_BUDGET_PERIOD2
ANLZ`  SEGMENT`  FB_SEGMENT
ANLZ`  PRCTR`  PRCTR
T095B`  AFABE`  AFABE_D
T095`  KTVERK`  KTVERK
T095`  MANDT`  MANDT
T095B`  MANDT`  MANDT
T095`  KTOPL`  KTOPL
T095B`  KTOPL`  KTOPL
T095`  AFABE`  AFABE_D
T095`  KTANSW`  KTANSW
T095B`  KTNAFB`  KTNAFB
T095`  KTANZA`  KTANZA
T095B`  KTNAFG`  KTNAFG
T095`  KTERLW`  KTERLW
T095B`  KTNAFU`  KTNAFU
T095`  KTMEHR`  KTMEHR
T095B`  KTSAFB`  KTSAFB
T095`  KTMAHK`  KTMAHK
T095B`  KTSAFG`  KTSAFG
T095`  KTMIND`  KTMIND
T095B`  KTSAFU`  KTSAFU
T095`  KTREST`  KTREST
T095B`  KTAAFB`  KTAAFB
T095`  KTAPFG`  KTADEC
T095B`  KTAAFG`  KTAAFG
T095`  KTAUFG`  KTAUFG
T095B`  KTZINB`  KTZINB
T095`  KTAUFW`  KTAUFW
T095B`  KTAAFU`  KTAAFU
T095`  KTANSG`  KTANSG
T095B`  KTZING`  KTZING
T095`  KTANZG`  KTANZG
T095B`  KTZINU`  KTZINU
T095`  KTVBAB`  KTVBAB
T095`  KTVZU`  KTVBZU
T095B`  KTMAFB`  KTMAFB
T095B`  KTMAFG`  KTMAFG
T095`  KTARIZ`  KTARIZ
T095B`  KTNZUS`  KTNZUS
T095`  KTRIZU`  KTVRIZ
T095B`  KTAUNG`  KTAUNG
T095`  KTVIZU`  KTVIZU
T095B`  KTAUNB`  KTAUNB
T095`  KTENAK`  KTENAK
T095B`  KTMZUS`  KTMZUS
T095`  KTNAIB`  KTNAIB
T095B`  KTSZUS`  KTSZUS
T095`  KTCOAB`  KTCOAB
T095B`  KTAZUS`  KTAZUS
T095`  KTOGR`  KTOGR
T095B`  KTOGR`  KTOGR
