TRKORR [C(00040)]`TRFUNCTION [C(00002)]`TRSTATUS [C(00002)]`TARSYSTEM [C(00020)]`KORRDEV [C(00008)]`AS4USER [C(00024)]`AS4DATE [D(00016)]`AS4TIME [T(00012)]`STRKORR [C(00040)]
S4HK902009`  W`  D`  `  CUST`  SAP333`  20201202`  172935`
S4HK901993`  K`  D`  `  SYST`  ALBERT`  20201201`  173009`
S4HK901994`  S`  D`  `  SYST`  ALBERT`  20201201`  175646`  S4HK901993
S4HK901727`  S`  D`  `  SYST`  SAP022`  20201201`  081006`  S4HK901726
S4HK901995`  W`  D`  `  CUST`  ALBERT`  20201201`  180326`
S4HK901982`  R`  D`  `  SYST`  LIUYL`  20201201`  082911`  S4HK901700
S4HK902010`  Q`  D`  `  CUST`  SAP333`  20201202`  173049`  S4HK902009
S4HK901997`  W`  D`  `  CUST`  ALBERT`  20201201`  182401`
S4HK901983`  W`  D`  `  CUST`  SAP500`  20201201`  085855`
S4HK901984`  Q`  D`  `  CUST`  SAP500`  20201201`  085855`  S4HK901983
S4HK902011`  K`  D`  `  SYST`  SAP558`  20201202`  181434`
S4HK902012`  S`  D`  `  SYST`  SAP558`  20201202`  181441`  S4HK902011
S4HK901998`  Q`  D`  `  CUST`  ALBERT`  20201201`  182402`  S4HK901997
S4HK901927`  Q`  D`  `  CUST`  SAP479`  20201202`  201954`  S4HK901926
S4HK902013`  R`  D`  `  SYST`  SAP054`  20201202`  212132`  S4HK901936
S4HK901954`  R`  D`  `  SYST`  SAP054`  20201202`  212241`  S4HK901952
S4HK901871`  Q`  D`  `  CUST`  SAP420`  20201201`  090518`  S4HK901870
S4HK901985`  K`  D`  `  SYST`  SAP425`  20201201`  114111`
S4HK901999`  W`  D`  `  CUST`  SAP520`  20201201`  192840`
S4HK902001`  W`  D`  `  CUST`  SAP333`  20201201`  202932`
S4HK902015`  R`  D`  `  SYST`  SAP054`  20201202`  212350`  S4HK901973
S4HK902003`  W`  D`  `  CUST`  SAP461`  20201201`  220920`
S4HK902016`  W`  D`  `  CUST`  SAP553`  20201202`  221642`
S4HK901987`  W`  D`  `  CUST`  TOP001`  20201201`  151437`
S4HK901989`  W`  D`  `  CUST`  SAP345`  20201201`  153854`
S4HK901986`  S`  D`  `  SYST`  SAP425`  20201202`  105859`  S4HK901985
S4HK901991`  K`  D`  `  SYST`  ALBERT`  20201201`  170159`
S4HK901992`  S`  D`  `  SYST`  ALBERT`  20201201`  170203`  S4HK901991
S4HK902005`  W`  D`  `  CUST`  SAP488`  20201202`  131430`
S4HK902018`  S`  D`  `  SYST`  SAP497`  20201202`  235051`  S4HK901595
S4HK901988`  Q`  D`  `  CUST`  TOP001`  20201202`  153223`  S4HK901987
S4HK902007`  W`  D`  `  CUST`  TOP001`  20201202`  153520`
S4HK901990`  Q`  D`  `  CUST`  SAP345`  20201202`  162909`  S4HK901989
