PROFNAME [C(00016)]`SLOTNO [N(00008)]`CURRPROF [C(00016)]`CLASSES [I(00004)]`SEVERITY [I(00004)]`CLIENT [C(00006)]`UNAME [C(00024)]`STATUS [C(00002)]`CUNAME [C(00024)]`CDATE [D(00016)]`SELVAR [X(00001)]`MSGVECT [X(00064)]
$FLAG$`  0001`  2299636`  0 `  0 `  `  `  `  BPINST`  20191022`  00`  00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
!DISPLAY`  0000`  `  0 `  0 `  `  `  `  SAP`  20201211`  00`  00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
!DISPLAY`  0001`  `  0 `  0 `  *`  *`  `  SAP`  20201211`  11`  00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
