MANDT [C(00006)]`RFPRO [C(00008)]`BUKRS [C(00008)]`BETRS [P(00007)]`BETRH [P(00007)]`PROZS [P(00003)]`PROZH [P(00003)]`SKNTS [P(00007)]`SKNTH [P(00007)]`MAXBT [P(00015)]`MAXEB [P(00013)]`MAXSK [P(00005)]
400`  `  `  0 `  0 `  0 `  0 `  0 `  0 `  0 `  0 `  0
400`  `  0001`  100 `  100 `  10 `  10 `  10 `  10 `  1000000000000 `  1000000000 `  5
400`  `  0002`  5 `  5 `  2 `  2 `  0 `  0 `  99999999999 `  99999999999 `  5
400`  `  0003`  100 `  100 `  10 `  10 `  10 `  10 `  1000000000000 `  1000000000 `  5
400`  `  0009`  100 `  100 `  10 `  10 `  10 `  10 `  1000000000000 `  1000000000 `  5
400`  `  0077`  5 `  5 `  2 `  2 `  0 `  0 `  9999999999 `  9999999999 `  5
400`  `  0085`  100 `  100 `  10 `  10 `  10 `  10 `  1000000000000 `  1000000000 `  5
400`  `  0797`  100 `  100 `  10 `  10 `  10 `  10 `  1000000000000 `  1000000000 `  5
400`  `  0929`  100 `  100 `  10 `  10 `  10 `  10 `  1000000000000 `  1000000000 `  5
400`  `  0AES`  100 `  100 `  10 `  10 `  10 `  10 `  1000000000000 `  1000000000 `  5
400`  `  1006`  5 `  5 `  2 `  2 `  0 `  0 `  99999999999 `  99999999999 `  5
400`  `  1008`  5 `  5 `  2 `  2 `  0 `  0 `  99999999999 `  99999999999 `  5
400`  `  1009`  5 `  5 `  2 `  2 `  0 `  0 `  99999999999 `  99999999999 `  5
400`  `  1010`  5 `  5 `  2 `  2 `  0 `  0 `  99999999999 `  99999999999 `  5
400`  `  1110`  100 `  100 `  15 `  15 `  0 `  0 `  99999999999 `  99999999999 `  50
400`  `  1210`  5 `  5 `  2 `  2 `  0 `  0 `  99999999999 `  99999999999 `  5
400`  `  1310`  5 `  5 `  2 `  2 `  0 `  0 `  99999999999 `  99999999999 `  5
400`  `  1320`  5 `  5 `  2 `  2 `  0 `  0 `  99999999999 `  99999999999 `  5
400`  `  1410`  5 `  5 `  2 `  2 `  0 `  0 `  99999999999 `  99999999999 `  5
400`  `  1510`  0 `  0 `  2 `  2 `  0 `  0 `  99999999999 `  99999999999 `  5
400`  `  1610`  5 `  5 `  2 `  2 `  0 `  0 `  99999999999 `  99999999999 `  5
400`  `  1710`  5 `  5 `  2 `  2 `  0 `  0 `  99999999999 `  99999999999 `  5
