UserId [C(00030)]`Date [D(00016)]`Time [T(00012)]`ChangedBy [C(00024)]`Action [C(00100)]`OldContentsOfChangedField [C(00150)]`NewContentsOfChangedField [C(00150)]`TCode [C(00030)]
SAP557|12/01/2020|16:47:27|SAP   |有效期至：已更改|00/00/0000                                                                                                                                                                                                                                                   |              |12/11/2020                                                                                                                                                                                                                                                   |              |SU01```````
SAP558|12/01/2020|21:10:34|SAP   |用户已创建      |                                                                                                                                                                                                                                                             |              |                                                                                                                                                                                                                                                             |              |SU01```````
SAP558|12/01/2020|21:10:34|SAP   |初始用户类型    |                                                                                                                                                                                                                                                             |              |A                                                                                                                                                                                                                                                            |对话用户      |SU01```````
SAP558|12/01/2020|21:10:34|SAP   |有效期至：已更改|00/00/0000                                                                                                                                                                                                                                                   |              |12/11/2020                                                                                                                                                                                                                                                   |              |SU01```````
SAP558|12/02/2020|21:24:52|SAP   |有效期至：已更改|12/11/2020                                                                                                                                                                                                                                                   |              |00/00/0000                                                                                                                                                                                                                                                   |              |SU01```````
SAP559|12/02/2020|10:20:15|SAP   |用户已创建      |                                                                                                                                                                                                                                                             |              |                                                                                                                                                                                                                                                             |              |SU01```````
SAP559|12/02/2020|10:20:15|SAP   |初始用户类型    |                                                                                                                                                                                                                                                             |              |A                                                                                                                                                                                                                                                            |对话用户      |SU01```````
SAP559|12/02/2020|10:20:15|SAP   |有效期至：已更改|00/00/0000                                                                                                                                                                                                                                                   |              |12/11/2020                                                                                                                                                                                                                                                   |              |SU01```````
SAP560|12/02/2020|12:11:35|SAP   |用户已创建      |                                                                                                                                                                                                                                                             |              |                                                                                                                                                                                                                                                             |              |SU01```````
SAP560|12/02/2020|12:11:35|SAP   |初始用户类型    |                                                                                                                                                                                                                                                             |              |A                                                                                                                                                                                                                                                            |对话用户      |SU01```````
SAP561|12/02/2020|15:33:17|SAP   |用户已创建      |                                                                                                                                                                                                                                                             |              |                                                                                                                                                                                                                                                             |              |SU01```````
SAP561|12/02/2020|15:33:17|SAP   |初始用户类型    |                                                                                                                                                                                                                                                             |              |A                                                                                                                                                                                                                                                            |对话用户      |SU01```````
SAP561|12/03/2020|21:53:05|SAP561|锁定已更改      |                                                                                                                                                                                                                                                            0|未锁定        |                                                                                                                                                                                                                                                          128|错误的登录锁定|KRNL```````
SAP561|12/04/2020|10:22:52|SAP   |锁定已更改      |                                                                                                                                                                                                                                                          128|错误的登录锁定|                                                                                                                                                                                                                                                            0|未锁定        |SU01```````
SAP562|12/02/2020|15:57:40|SAP   |用户已创建      |                                                                                                                                                                                                                                                             |              |                                                                                                                                                                                                                                                             |              |SU01```````
