MANDT [C(00006)]`FRGGR [C(00004)]`FRGSX [C(00004)]`FRGC1 [C(00004)]`FRGC2 [C(00004)]`FRGC3 [C(00004)]`FRGC4 [C(00004)]`FRGC5 [C(00004)]`FRGC6 [C(00004)]`FRGC7 [C(00004)]`FRGC8 [C(00004)]
400`  01`  01`  01`  `  `  `  `  `  `
400`  02`  01`  31`  32`  `  `  `  `  `
400`  02`  03`  11`  12`  `  `  `  `  `
400`  Z1`  A1`  A1`  `  `  `  `  `  `
