MANDT [C(00006)]`KTOKD [C(00008)]`FAUSA [C(00080)]`FAUSF [C(00080)]`FAUSV [C(00080)]`FAUS1 [C(00080)]`FAUSW [C(00080)]`FAUSG [C(00080)]`FAUS2 [C(00080)]`FAUSU [C(00080)]
400`  0001`  +............+................+.........`  +............-........................-.`  ......+..+.*...+.............-+.........`  ........-.-.-.-.....--.--.-...-.---.....`  `  ---....---------------------------------`  ........................................`  ----------------------------------------
400`  0002`  +.+..+.....--+..........+-....+.........`  +............-........................-.`  ---------+-*-..-...------..---+.--......`  ........-.-.-.-.....-----.-...-.---.....`  `  ---....---------------------------------`  ........................................`  .---------------------------------------
400`  0003`  +.+..+.....--+...........-....+.........`  +............-........................-.`  --..--------.--------..-.-----+..-......`  ........-.---.-.....-----.-...-.---.....`  `  ---....---------------------------------`  ........................................`  .---------------------------------------
400`  0004`  +.+..+.....--+...........-....+.........`  +............-........................-.`  --------------------------.----.--......`  ........-.---.-.....-----.-...-.---.....`  `  ---....---------------------------------`  ........................................`  .---------------------------------------
400`  0005`  +.+..+.....--+..-------.------+---.--.-.`  ----------------------------------------`  -------------------------.-----.--------`  ---...-.-.---.-.....-----.-...-.---.....`  `  ------.---------------------------------`  ........................................`  ----------------------------------------
400`  0006`  +.+..+.....--+....----..------+---.--.-.`  ----------------------------------------`  ----------------------------------------`  ---...-.-.---.-.....-----.-...-.---.....`  `  ------.---------------------------------`  ........................................`  ----------------------------------------
400`  0007`  +.+..+.....--+....----..------+---.--.-.`  ----------------------------------------`  ----------------------------------------`  ---...-.-.---.-.....-----.-...-.---.....`  `  ------.---------------------------------`  ........................................`  ----------------------------------------
400`  0012`  +.+..+.....--+..--------------+--------.`  ----------------------------------------`  --------------------------------.-------`  ---------.--..-.....-----.-...-.---.....`  `  ----------------------------------------`  ........................................`  ----------------------------------------
400`  0020`  ..---.-------.----------------.---------`  ----------------------------------------`  -----------.-----.-----.-.---.-------.-.`  ------------------------------.-...-----`  `  -------.................................`  ---.....--------.----------.............`  ----------------------------------------
400`  0100`  ...........--...........................`  .............-.............-...........-`  .............................-..........`  ..............-...............-.---.....`  +++.----------........--..---.----..----`  ...--..---------------------------------`  ........................................`  .---------------------------------------
400`  0110`  ...........--...........................`  .............-..........................`  .............................-..........`  ..............-...............-.---.....`  +++.-----...--........--..---.----..----`  ......----------------------------------`  ........................................`  .---------------------------------------
400`  0120`  ...........--...........................`  .............-..........................`  .............................-..........`  ..............-...............-.---.....`  +++.-----...--........--..---.----..----`  .......---------------------------------`  ........................................`  .---------------------------------------
400`  0130`  ...........--...........................`  .............-..........................`  .............................-..........`  ..............-...............-.---.....`  +++.-----...--........--..---.----..----`  .......---------------------------------`  ........................................`  .---------------------------------------
400`  0140`  ...........--...........................`  .............-..........................`  .............................-..........`  ......----------------------------------`  +++.-----...--........--..---.----..----`  .......---------------------------------`  ........................................`  .---------------------------------------
400`  0150`  ...........--...........................`  .............-..........................`  .............................-..........`  ..............-...............-.---.....`  +++.-----...--........--..---.----..----`  .......---------------------------------`  ........................................`  .---------------------------------------
400`  0160`  ...........--...........................`  .............-..........................`  ........................................`  ..............................-.---.....`  `  ........................................`  ...-----........-..........-------------`  .---------------------------------------
400`  0170`  ----------------------------------------`  ----------------------------------------`  ----------------------------------------`  ----------------------------------------`  `  ----------------------------------------`  ----------------------------------------`  ----------------------------------------
400`  77C1`  ........................................`  ........................................`  ........................................`  ........................................`  `  ........................................`  ........................................`  ........................................
400`  77C2`  ........................................`  ........................................`  ........................................`  ........................................`  `  ........................................`  ........................................`  ........................................
400`  77C3`  ........................................`  ........................................`  ........................................`  ........................................`  `  ........................................`  ........................................`  ........................................
400`  77CV`  ........................................`  ........................................`  ........................................`  ........................................`  `  ........................................`  ........................................`  ........................................
400`  AA01`  ........................................`  ........................................`  ........................................`  ........................................`  `  ........................................`  ........................................`  ........................................
400`  AA02`  ........................................`  ........................................`  ........................................`  ........................................`  `  ........................................`  ........................................`  ........................................
400`  AR01`  +........-----..--------.---------------`  +-----.---------------------------------`  ....+.+....*...+.-...........-+......-.-`  ------.--.-----.-.----------------------`  `  ----------------------------------------`  ----------------------------------------`  ----------------------------------------
400`  AR02`  +--------------------------------+------`  +-----.---------------------------------`  ...-*.----------------------------------`  ----------------------------------------`  `  ----------------------------------------`  ----------------------------------------`  ----------------------------------------
400`  B1`  ........................................`  ........................................`  ........................................`  ........................................`  `  ........................................`  ........................................`  ........................................
400`  BILT`  .............+................+.........`  ........................................`  ...............+........................`  ..............................-.---.....`  `  ........--------------------------------`  ........................................`  .---------------------------------------
