UserId [C(00030)]`Date [D(00016)]`Time [T(00012)]`ChangedBy [C(00024)]`Action [C(00100)]`OldContentsOfChangedField [C(00150)]`NewContentsOfChangedField [C(00150)]`TCode [C(00030)]
MGY   |12/12/2020|12:03:02|SAP612|已删除的参数文件|T-SH9600492 |角色的参数文件 ZSAPTEXT           |            |                                   |```````
MGY   |12/12/2020|12:03:02|SAP612|已删除的参数文件|T-SH96004920|角色的参数文件 ZSAPTEXT           |            |                                   |```````
MGY   |12/12/2020|12:03:02|SAP612|已删除的参数文件|T-SH96004921|角色的参数文件 ZSAPTEXT           |            |                                   |```````
MGY   |12/12/2020|12:03:02|SAP612|已删除的参数文件|T-SH96004922|角色的参数文件 ZSAPTEXT           |            |                                   |```````
MGY   |12/12/2020|12:03:02|SAP612|已删除的参数文件|T-SH96004923|角色的参数文件 ZSAPTEXT           |            |                                   |```````
MGY   |12/12/2020|12:03:02|SAP612|已删除的参数文件|T-SH96004924|角色的参数文件 ZSAPTEXT           |            |                                   |```````
MGY   |12/12/2020|12:03:02|SAP612|已删除的参数文件|T-SH96004925|角色的参数文件 ZSAPTEXT           |            |                                   |```````
MGY   |12/12/2020|12:03:02|SAP612|已删除的参数文件|T-SH96004926|角色的参数文件 ZSAPTEXT           |            |                                   |```````
MGY   |12/12/2020|12:03:02|SAP612|已删除的参数文件|T-SH96004927|角色的参数文件 ZSAPTEXT           |            |                                   |```````
MGY   |12/12/2020|12:03:02|SAP612|已删除的参数文件|T-SH9600493 |角色的参数文件 ZSAPTEXT           |            |                                   |```````
MGY   |12/12/2020|12:03:02|SAP612|已删除的参数文件|T-SH9600494 |角色的参数文件 ZSAPTEXT           |            |                                   |```````
MGY   |12/12/2020|12:03:02|SAP612|已删除的参数文件|T-SH9600495 |角色的参数文件 ZSAPTEXT           |            |                                   |```````
MGY   |12/12/2020|12:03:02|SAP612|已删除的参数文件|T-SH9600496 |角色的参数文件 ZSAPTEXT           |            |                                   |```````
MGY   |12/12/2020|12:03:02|SAP612|已删除的参数文件|T-SH9600497 |角色的参数文件 ZSAPTEXT           |            |                                   |```````
MGY   |12/12/2020|12:03:02|SAP612|已删除的参数文件|T-SH9600498 |角色的参数文件 ZSAPTEXT           |            |                                   |```````
MGY   |12/12/2020|12:03:02|SAP612|已删除的参数文件|T-SH9600499 |角色的参数文件 ZSAPTEXT           |            |                                   |```````
MGY   |12/12/2020|12:03:02|SAP612|已删除的参数文件|T-SH960086  |角色的参数文件 Z_TEST_202012      |            |                                   |```````
SAP_  |12/10/2020|13:13:38|SAP246|参数文件已添加  |            |                                  |SAP_ALL     |All SAP System authorizations      |```````
SAP_  |12/10/2020|13:13:38|SAP246|参数文件已添加  |            |                                  |SAP_NEW     |新生成对象的全部授权               |```````
SAP_  |12/10/2020|13:13:38|SAP246|参数文件已添加  |            |                                  |S_A.SYSTEM  |系统管理员(超级用户)               |```````
SAP_  |12/10/2020|13:18:09|SAP246|已删除的参数文件|SAP_ALL     |All SAP System authorizations     |            |                                   |```````
SAP_  |12/10/2020|13:18:09|SAP246|已删除的参数文件|SAP_NEW     |新生成对象的全部授权              |            |                                   |```````
SAP_  |12/10/2020|13:18:09|SAP246|已删除的参数文件|S_A.SYSTEM  |系统管理员(超级用户)              |            |                                   |```````
SAP000|12/15/2020|12:54:25|SAP000|参数文件已添加  |            |                                  |T-SH960032  |角色的参数文件 ZSAP_UI2_ADMIN_700  |```````
SAP000|12/15/2020|12:54:25|SAP000|参数文件已添加  |            |                                  |T_K4610022  |Profile for role SAP_FMCA_CA_BRAZIL|```````
SAP118|12/08/2020|13:03:40|SAP   |参数文件已添加  |            |                                  |T-SH960083  |角色的参数文件 SCC4                |```````
SAP375|12/14/2020|08:47:21|SAP375|参数文件已添加  |            |                                  |T-SH960083  |角色的参数文件 SCC4                |```````
SAP554|12/01/2020|10:16:41|SAP   |参数文件已添加  |            |                                  |T-SH960002  |Profile for role SAP_BC_SEFS_ADMIN |```````
SAP554|12/01/2020|10:16:41|SAP   |参数文件已添加  |            |                                  |T-SH960004  |Profile for role SAP_BC_SES_ADMIN  |```````
SAP554|12/01/2020|10:16:41|SAP   |参数文件已添加  |            |                                  |T-SH960049  |角色的参数文件 ZSAPTEXT            |```````
SAP554|12/01/2020|10:16:41|SAP   |参数文件已添加  |            |                                  |T-SH9600491 |角色的参数文件 ZSAPTEXT            |```````
