MANDT [C(00006)]`KTOPL [C(00008)]`SAKNR [C(00020)]`XBILK [C(00002)]`SAKAN [C(00020)]`BILKT [C(00020)]`ERDAT [D(00016)]`ERNAM [C(00024)]`GVTYP [C(00004)]`KTOKS [C(00008)]`MUSTR [C(00020)]`VBUND [C(00012)]`XLOEV [C(00002)]`XSPEA [C(00002)]`XSPEB [C(00002)]`XSPEP [C(00002)]`MCOD1 [C(00050)]
400`  YACN`  0010021099`  X`  0010021099`  `  00000000`  SAP`  `  SAKO`  `  `  `  `  `  `
400`  YACN`  0010021100`  X`  0010021100`  `  00000000`  SAP`  `  SAKO`  `  `  `  `  `  `
400`  YACN`  0010022099`  X`  0010022099`  `  00000000`  SAP`  `  SAKO`  `  `  `  `  `  `
400`  YACN`  0011010101`  X`  0011010101`  `  00000000`  SAP`  `  SAKO`  `  `  `  `  `  `
400`  YACN`  0011220102`  X`  0011220102`  `  00000000`  SAP`  `  SAKO`  `  `  `  `  `  `
400`  YACN`  0011220103`  X`  0011220103`  `  00000000`  SAP`  `  SAKO`  `  `  `  `  `  `
400`  YACN`  0011220190`  X`  0011220190`  `  00000000`  SAP`  `  SAKO`  `  `  `  `  `  `
400`  YACN`  0011220199`  X`  0011220199`  `  00000000`  SAP`  `  SAKO`  `  `  `  `  `  `
400`  YACN`  0011220201`  X`  0011220201`  `  00000000`  SAP`  `  SAKO`  `  `  `  `  `  `
400`  YACN`  0011220299`  X`  0011220299`  `  00000000`  SAP`  `  SAKO`  `  `  `  `  `  `
400`  YACN`  0011220301`  X`  0011220301`  `  00000000`  SAP`  `  SAKO`  `  `  `  `  `  `
400`  YACN`  0011220399`  X`  0011220399`  `  00000000`  SAP`  `  SAKO`  `  `  `  `  `  `
400`  YACN`  0011230101`  X`  0011230101`  `  00000000`  SAP`  `  SAKO`  `  `  `  `  `  `
400`  YACN`  0011230102`  X`  0011230102`  `  00000000`  SAP`  `  SAKO`  `  `  `  `  `  `
400`  YACN`  0011230103`  X`  0011230103`  `  00000000`  SAP`  `  SAKO`  `  `  `  `  `  `
400`  YACN`  0011230123`  X`  0011230123`  `  00000000`  SAP`  `  SAKO`  `  `  `  `  `  `
400`  YACN`  0011230900`  X`  0011230900`  `  00000000`  SAP`  `  SAKO`  `  `  `  `  `  `
400`  YACN`  0011231530`  X`  0011231530`  `  00000000`  SAP`  `  SAKO`  `  `  `  `  `  `
400`  YACN`  0012210100`  X`  0012210100`  `  00000000`  SAP`  `  SAKO`  `  `  `  `  `  `
400`  YACN`  0012210101`  X`  0012210101`  `  00000000`  SAP`  `  SAKO`  `  `  `  `  `  `
400`  YACN`  0012210102`  X`  0012210102`  `  00000000`  SAP`  `  SAKO`  `  `  `  `  `  `
400`  YACN`  0012210109`  X`  0012210109`  `  00000000`  SAP`  `  SAKO`  `  `  `  `  `  `
400`  YACN`  0012210110`  X`  0012210110`  `  00000000`  SAP`  `  SAKO`  `  `  `  `  `  `
400`  YACN`  0012210120`  X`  0012210120`  `  00000000`  SAP`  `  SAKO`  `  `  `  `  `  `
400`  YACN`  0012310200`  X`  0012310200`  `  00000000`  SAP`  `  SAKO`  `  `  `  `  `  `
400`  YACN`  0014020101`  X`  0014020101`  `  00000000`  SAP`  `  SAKO`  `  `  `  `  `  `
400`  YACN`  0014030199`  X`  0014030199`  `  00000000`  SAP`  `  SAKO`  `  `  `  `  `  `
400`  YACN`  0014050199`  X`  0014050199`  `  00000000`  SAP`  `  SAKO`  `  `  `  `  `  `
400`  YACN`  0016010202`  X`  0016010202`  `  00000000`  SAP`  `  SAKO`  `  `  `  `  `  `
400`  YACN`  0016010301`  X`  0016010301`  `  00000000`  SAP`  `  SAKO`  `  `  `  `  `  `
400`  YACN`  0016010501`  X`  0016010501`  `  00000000`  SAP`  `  SAKO`  `  `  `  `  `  `
400`  YACN`  0016020203`  X`  0016020203`  `  00000000`  SAP`  `  SAKO`  `  `  `  `  `  `
400`  YACN`  0016020401`  X`  0016020401`  `  00000000`  SAP`  `  SAKO`  `  `  `  `  `  `
400`  YACN`  0016020701`  X`  0016020701`  `  00000000`  SAP`  `  SAKO`  `  `  `  `  `  `
400`  YACN`  0016069913`  X`  0016069913`  `  00000000`  SAP`  `  SAKO`  `  `  `  `  `  `
400`  YACN`  0016069914`  X`  0016069914`  `  00000000`  SAP`  `  SAKO`  `  `  `  `  `  `
400`  YACN`  0016069915`  X`  0016069915`  `  00000000`  SAP`  `  SAKO`  `  `  `  `  `  `
400`  YACN`  0016069916`  X`  0016069916`  `  00000000`  SAP`  `  SAKO`  `  `  `  `  `  `
400`  YACN`  0016069917`  X`  0016069917`  `  00000000`  SAP`  `  SAKO`  `  `  `  `  `  `
