MANDT [C(00006)]`FLREF [C(00040)]`FAUS1 [C(00140)]`FAUS2 [C(00140)]`FAUS3 [C(00140)]`BSTYP [C(00002)]
400`  NBB`  +...............................+..........+.....+.+.+....+...........`  ................................--...................................B`  ......................................................................`  B
400`  NBF`  ............+.............-.........--................................`  ..............-.....+...-.......--..............-.................-..F`  ..............................................-.......................`  F
400`  NBF2`  ............+.........................................................`  ...................................+............+....................F`  ......................................................................`  F
400`  PT0A`  ....................................................................+.`  -...................+..................................-.............A`  ......................................................................`  A
400`  PT0B`  ............................................................+.......+.`  ......-.............+................................................B`  ......................................................................`  B
400`  PT0C`  .................................................+.+.+................`  ......-..............................................................C`  .........................------+..-.-.+-------........................`  C
400`  PT0F`  .................................................+.+.+......+.......+.`  -.....-.............+..................................-.............F`  ......................................................................`  F
400`  PT0K`  .................................................+.+.+..............+.`  ......-.............+................................................K`  .........................------+..-.-.+-------........................`  K
400`  PT0L`  .................................................+.+.+......+.......+.`  ......-.............+..................................-.............L`  ............................................--........................`  L
400`  PT1B`  ...-..*.........................................**.*.+......*-------+.`  ......-.-...........+..----............--................-...........B`  ......................................................................`  B
400`  PT1F`  ...-..*..........................................*.*.+......*.....-.+.`  -....----.-..-...---+...-****..........**...--.-..--...-.--..........F`  ......................................................................`  F
400`  PT2B`  ......-..........................................+.+.+......--------+.`  ......-.-...........+..----............-.............................B`  ......................................................................`  B
400`  PT2F`  ...-..-..........................................+.+.+......--------+.`  -.....-...-.........+..-----...........-...............-.............F`  ......................................................................`  F
400`  PT2K`  ...-..-..........................................+.+.+......--------+.`  ......-.-.-.........+..-----...........-.........-...................K`  ........-----------------...................--........................`  K
400`  PT2L`  ...-..-..........................................+.+.+......--------+.`  ......-.-.-.........+..-----...........-.........-.....-.............L`  ............................................--........................`  L
400`  PT3B`  ............................................................+.......+.`  ......-.............+................................................B`  ......................................................................`  B
400`  PT3F`  .................................................+.+.+......+.......+.`  -.....-.............+..................................-.............F`  ......................................................................`  F
400`  PT3K`  .................................................+.+.+..............+.`  ......-.............+................................................K`  ........-----------------...................--........................`  K
400`  PT3L`  .................................................+.+.+......+.......+.`  ......-.............+..................................-.............L`  ............................................--........................`  L
400`  PT4K`  ...-................................................-....-........-.+.`  ......-.-..............--............................................K`  ........-----------------...................--........................`  K
400`  PT5A`  .......................................................-............+.`  ....................+................................................A`  ......................................................................`  A
