MANDT [C(00006)]`WERKS [C(00008)]`XLAUT [C(00002)]
400`  0001`  X
400`  0003`  X
400`  1010`  X
400`  1710`  X
400`  4410`  X
400`  6410`  X
400`  ZS01`  X
400`  1110`  X
400`  6310`  X
400`  3610`  X
400`  6810`  X
400`  XXGC`  X
400`  6110`  X
400`  1910`  X
400`  5910`  X
400`  1610`  X
400`  2810`  X
400`  3510`  X
400`  2610`  X
400`  5810`  X
400`  6910`  X
400`  3710`  X
400`  5410`  X
400`  5510`  X
400`  3310`  X
400`  1210`  X
400`  7K10`  X
400`  F011`  X
400`  M008`  X
400`  P999`  X
400`  MATE`
400`  TB00`  X
400`  A001`  X
400`  A004`  X
400`  2020`  X
400`  9999`  X
400`  2030`  X
400`  CN02`  X
400`  6000`  X
400`  0009`  X
400`  C100`  X
400`  ZSAP`  X
400`  L001`  X
400`  8570`
400`  6600`  X
400`  6300`  X
400`  3000`  X
400`  6800`  X
400`  1320`  X
400`  1321`  X
400`  A930`  X
400`  T100`  X
400`  J001`  X
400`  ZZMC`  X
400`  4310`  X
400`  7200`  X
400`  1510`  X
400`  2910`  X
400`  2310`  X
400`  1810`  X
400`  4210`  X
400`  5110`  X
400`  2110`  X
400`  6210`  X
400`  4510`  X
400`  2410`  X
400`  3210`  X
400`  2010`  X
400`  2210`  X
400`  1410`  X
400`  2510`  X
400`  3010`  X
400`  3910`  X
400`  0870`  X
400`  S001`  X
400`  S002`  X
400`  9700`  X
400`  L003`  X
400`  1070`  X
400`  B001`  X
400`  H001`  X
400`  Z701`  X
400`  W100`  X
400`  4010`  X
400`  4000`  X
400`  4020`  X
400`  1006`  X
400`  ZW01`  X
400`  ZW11`  X
400`  TAKU`  X
400`  AR00`  X
400`  AR10`  X
400`  RP01`  X
400`  6950`  X
400`  6951`  X
400`  7300`  X
400`  7400`  X
400`  7100`  X
400`  9800`  X
400`  P001`  X
400`  P002`  X
400`  P003`  X
400`  1001`  X
400`  ZZWY`  X
400`  LL02`  X
400`  ZERO`  X
400`  ZLP1`  X
400`  Z002`  X
400`  1310`
400`  ZZ20`
400`  SY20`  X
400`  ZWQ1`
400`  3006`  X
400`  Z500`
400`  2000`  X
400`  2001`  X
400`  ZZ90`  X
400`  X999`  X
400`  0797`  X
400`  A888`  X
400`  ZZ40`
400`  Z501`
400`  Z502`  X
400`  Z510`  X
400`  0077`  X
400`  LL01`  X
400`  6010`  X
400`  6011`  X
400`  6012`  X
400`  6013`  X
400`  6014`  X
