MANDT [C(00006)]`BUKRS [C(00008)]`AFAPL [C(00008)]`VRMAFB [C(00008)]
400`  AR00`  AR88`  01
400`  1710`  1710`  01
400`  4410`  4410`  01
400`  6410`  6410`  01
400`  2006`  1710`  01
400`  Z010`  Z010`  01
400`  6310`  6310`  01
400`  3610`  3610`  01
400`  6110`  6110`  01
400`  1910`  1910`  01
400`  5910`  5910`  01
400`  CN02`  CN02`  01
400`  2810`  2810`  01
400`  3510`  3510`  01
400`  2610`  2610`  01
400`  5810`  5810`  01
400`  6910`  6910`  01
400`  3710`  3710`  01
400`  5410`  5410`  01
400`  5510`  5510`  01
400`  3310`  3310`  01
400`  1210`  1210`  01
400`  7K10`  7K10`  01
400`  4310`  4310`  01
400`  1510`  1510`  01
400`  CD01`  1310`  01
400`  CD02`  1310`  01
400`  XXGS`  XXGS`  01
400`  HXGS`  1010`  01
400`  BJDM`  BJDM`  01
400`  2020`  1310`  01
400`  CN00`  CN02`  01
400`  ZZSY`  ZZSY`  01
400`  1320`  1310`  01
400`  2021`  1310`  01
400`  2030`  1310`  01
400`  9399`  1310`  01
400`  6600`  1310`  01
400`  HHHH`  1310`  01
400`  SNOW`  1310`  01
400`  LIU1`  1510`  01
400`  9800`  3010`  01
400`  9801`  3010`  01
400`  DDDD`  1310`  01
400`  4450`  1310`  01
400`  ZZ02`  1310`  01
400`  A002`  TM99`  01
400`  A003`  TM99`  01
400`  A001`  TMHK`  01
400`  TAKU`  XXGS`  01
400`  2910`  2910`  01
400`  2310`  2310`  01
400`  1810`  1810`  01
400`  4210`  4210`  01
400`  5110`  5110`  01
400`  2110`  2110`  01
400`  6210`  6210`  01
400`  4510`  4510`  01
400`  2410`  2410`  01
400`  3210`  3210`  01
400`  2210`  2210`  01
400`  2510`  2510`  01
400`  3010`  3010`  01
400`  3910`  3910`  01
400`  1410`  1410`  01
400`  J001`  BJDM`  01
400`  AR10`  AR88`  01
400`  7000`  7999`  01
400`  7010`  7999`  01
400`  ZJ01`  7K10`  01
400`  1006`  1710`  01
400`  1010`  1010`  01
400`  2301`  2301`  01
400`  AA01`  1710`  01
400`  AA02`  1310`  01
400`  1310`  1310`  01
400`  L000`  L000`  01
400`  K001`  1010`  01
400`  LL00`  LL02`  01
400`  3006`  1710`  01
400`  9919`  1310`  01
400`  ZP00`  ZP00`  01
400`  1008`  1310`  01
400`  Z500`  1310`  01
400`  2018`  2018`  01
400`  A026`  1710`  01
400`  0002`  1310`  01
400`  AAA2`  AAA2`  01
400`  8999`  1310`  01
400`  0007`  TMHK`  01
400`  4020`  4020`  01
400`  A101`  1310`  01
400`  1610`  1610`  01
400`  0206`  CPCN`  01
400`  Z510`  7999`  01
400`  1110`  1110`  01
400`  0077`  0077`  01
