MANDT [C(00006)]`PERIV [C(00004)]`XKALE [C(00002)]`XJABH [C(00002)]`ANZBP [C(00006)]`ANZSP [C(00004)]
400`  18`  X`  `  012`  04
400`  24`  `  `  024`  00
400`  60`  X`  `  012`  04
400`  BM`  `  `  006`  00
400`  C1`  `  `  001`  00
400`  C5`  `  X`  012`  04
400`  CH`  X`  `  012`  04
400`  DL`  `  `  366`  00
400`  GN`  X`  `  012`  04
400`  J1`  X`  `  012`  03
400`  K0`  X`  `  012`  00
400`  K1`  `  X`  012`  01
400`  K2`  X`  `  012`  02
400`  K3`  X`  `  012`  03
400`  K4`  X`  `  012`  04
400`  KR`  `  `  012`  04
400`  LR`  `  `  006`  00
400`  M3`  `  `  024`  00
400`  M4`  `  `  024`  00
400`  M6`  `  `  024`  00
400`  M9`  `  `  024`  00
400`  N3`  `  `  024`  00
400`  N6`  `  `  024`  00
400`  Q4`  `  `  004`  00
400`  QT`  `  `  004`  00
400`  R1`  `  X`  012`  04
400`  RK`  X`  `  012`  04
400`  S3`  `  `  012`  04
400`  S6`  `  `  012`  04
400`  SA`  `  `  012`  00
400`  SZ`  X`  `  012`  00
400`  V3`  `  `  012`  04
400`  V6`  `  `  012`  04
400`  V9`  `  `  012`  04
400`  W1`  `  X`  012`  04
400`  WK`  `  X`  053`  00
400`  Y1`  X`  `  012`  02
400`  Y2`  `  `  006`  02
400`  Y3`  `  X`  004`  02
400`  Y4`  X`  `  012`  04
400`  Y5`  `  X`  004`  02
400`  YN`  X`  `  012`  04
400`  YP`  `  X`  012`  04
400`  Z1`  X`  `  012`  04
400`  Z2`  X`  `  012`  04
400`  ZA`  X`  `  012`  04
400`  ZF`  X`  `  012`  04
400`  ZR`  X`  `  012`  04
400`  ZW`  X`  `  012`  04
