MANDT [C(00006)]`KTOPL [C(00008)]`KTOSL [C(00006)]`BWMOD [C(00008)]`KOMOK [C(00006)]`BKLAS [C(00008)]`KONTS [C(00020)]`KONTH [C(00020)]
400`  CASK`  FRL`  0001`  `  `  `
400`  CASK`  FRN`  0001`  `  `  `
400`  CATW`  FRL`  0001`  `  `  `
400`  CATW`  FRN`  0001`  `  `  `
400`  CATW`  WRY`  0001`  `  `  `
400`  IKR`  WRY`  0001`  `  `  0000293010`  0000293010
400`  INT`  FRL`  0001`  `  `  0000417000`  0000417000
400`  INT`  FRN`  0001`  `  `  0000415000`  0000415000
400`  INT`  PRA`  0001`  `  `  0000231010`  0000281010
400`  INT`  RAP`  0001`  `  `  0000231080`  0000281080
400`  INT`  WPA`  0001`  `  `  0000791000`  0000791000
400`  INT`  WPM`  0001`  `  `  0000791000`  0000791000
400`  INT`  WRX`  0001`  `  `  0000191100`  0000191100
400`  INT`  WRY`  0001`  `  `  0000191110`  0000191110
400`  `  BSV`  0001`  `  3000`  `
400`  `  BSV`  0001`  `  3001`  `
400`  `  BSV`  0001`  `  3030`  `
400`  `  BSV`  0001`  `  3031`  `
400`  `  BSV`  0001`  `  3040`  `
400`  `  BSV`  0001`  `  3050`  `
400`  `  BSV`  0001`  `  3100`  `
400`  `  BSX`  0001`  `  3001`  `
400`  `  EIN`  0001`  `  3000`  `
400`  `  EIN`  0001`  `  3001`  `
400`  `  EIN`  0001`  `  3030`  `
400`  `  EIN`  0001`  `  3031`  `
400`  `  EIN`  0001`  `  3040`  `
400`  `  EIN`  0001`  `  3050`  `
400`  `  EIN`  0001`  `  3100`  `
400`  `  EKG`  0001`  `  3000`  `
400`  `  EKG`  0001`  `  3001`  `
400`  `  EKG`  0001`  `  3030`  `
400`  `  EKG`  0001`  `  3031`  `
400`  `  EKG`  0001`  `  3040`  `
400`  `  EKG`  0001`  `  3050`  `
400`  `  EKG`  0001`  `  3100`  `
400`  `  PRD`  0001`  `  7900`  `
400`  `  PRD`  0001`  `  7920`  `
400`  `  PRY`  0001`  `  3000`  `
400`  `  PRY`  0001`  `  3001`  `
400`  `  PRY`  0001`  `  3030`  `
400`  `  PRY`  0001`  `  3031`  `
400`  `  PRY`  0001`  `  3040`  `
400`  `  PRY`  0001`  `  3050`  `
400`  `  PRY`  0001`  `  3100`  `
400`  `  PRY`  0001`  `  7900`  `
400`  `  PRY`  0001`  `  7920`  `
400`  `  UMB`  0001`  `  3000`  `
400`  `  UMB`  0001`  `  3001`  `
400`  `  UMB`  0001`  `  3030`  `
400`  `  UMB`  0001`  `  3031`  `
400`  `  UMB`  0001`  `  3040`  `
400`  `  UMB`  0001`  `  3050`  `
400`  `  UMB`  0001`  `  3100`  `
400`  `  UMB`  0001`  `  7900`  `
400`  `  UMB`  0001`  `  7920`  `
400`  CACN`  PRD`  0001`  `  7900`  `
400`  CACN`  PRD`  0001`  `  7920`  `
400`  CACN`  PRY`  0001`  `  3000`  `
400`  CACN`  PRY`  0001`  `  3001`  `
400`  CACN`  PRY`  0001`  `  3030`  `
400`  CACN`  PRY`  0001`  `  3031`  `
400`  CACN`  PRY`  0001`  `  3040`  `
400`  CACN`  PRY`  0001`  `  3050`  `
400`  CACN`  PRY`  0001`  `  3100`  `
400`  CACN`  PRY`  0001`  `  7900`  `
400`  CACN`  PRY`  0001`  `  7920`  `
400`  CACO`  BSX`  0001`  `  3000`  0014150100`  0014150100
400`  CACO`  BSX`  0001`  `  3001`  0014150100`  0014150100
400`  CACO`  BSX`  0001`  `  3030`  0014150100`  0014150100
400`  CACO`  BSX`  0001`  `  3040`  0014150100`  0014150100
400`  CACZ`  BSX`  0001`  `  7900`  0000122100`  0000122100
400`  CACZ`  EIN`  0001`  `  3000`  `
400`  CACZ`  EIN`  0001`  `  3001`  `
400`  CACZ`  EIN`  0001`  `  3030`  `
400`  CACZ`  EIN`  0001`  `  3031`  `
400`  CACZ`  EIN`  0001`  `  3040`  `
400`  CACZ`  EIN`  0001`  `  3050`  `
400`  CACZ`  EIN`  0001`  `  3100`  `
400`  CACZ`  EKG`  0001`  `  3000`  `
400`  CACZ`  EKG`  0001`  `  3001`  `
400`  CACZ`  EKG`  0001`  `  3030`  `
400`  CACZ`  EKG`  0001`  `  3031`  `
400`  CACZ`  EKG`  0001`  `  3040`  `
400`  CACZ`  EKG`  0001`  `  3050`  `
400`  CACZ`  EKG`  0001`  `  3100`  `
400`  CAFI`  BSX`  0001`  `  3030`  0000412010`  0000412010
400`  CAFI`  BSX`  0001`  `  3031`  0000412010`  0000412010
400`  CAFI`  BSX`  0001`  `  3100`  0000145000`  0000145000
400`  CAFI`  BSX`  0001`  `  7920`  0000145000`  0000145000
400`  CAFR`  BSX`  0001`  `  3000`  0000311000`  0000311000
400`  CAFR`  BSX`  0001`  `  3001`  0000311000`  0000311000
400`  CAFR`  BSX`  0001`  `  3030`  0000311000`  0000311000
400`  CAFR`  BSX`  0001`  `  3040`  0000311000`  0000311000
400`  CAFR`  BSX`  0001`  `  3050`  0000311000`  0000311000
400`  CAFR`  BSX`  0001`  `  3100`  0000311000`  0000311000
400`  CAFR`  BSX`  0001`  `  7900`  0000355100`  0000355100
400`  CAFR`  BSX`  0001`  `  7920`  0000355100`  0000355100
400`  CAJP`  BSX`  0001`  `  3031`  `
400`  CANO`  EIN`  0001`  `  3000`  `
400`  CANO`  EIN`  0001`  `  3001`  `
400`  CANO`  EIN`  0001`  `  3030`  `
400`  CANO`  EIN`  0001`  `  3031`  `
400`  CANO`  EIN`  0001`  `  3040`  `
400`  CANO`  EIN`  0001`  `  3050`  `
400`  CANO`  EIN`  0001`  `  3100`  `
400`  CANO`  EKG`  0001`  `  3000`  `
400`  CANO`  EKG`  0001`  `  3001`  `
400`  CANO`  EKG`  0001`  `  3030`  `
400`  CANO`  EKG`  0001`  `  3031`  `
400`  CANO`  EKG`  0001`  `  3040`  `
400`  CANO`  EKG`  0001`  `  3050`  `
400`  CANO`  EKG`  0001`  `  3100`  `
400`  CANO`  LKW`  0001`  `  3000`  `
400`  CANO`  LKW`  0001`  `  3001`  `
400`  CANO`  LKW`  0001`  `  3030`  `
400`  CANO`  LKW`  0001`  `  3031`  `
400`  CANO`  LKW`  0001`  `  3040`  `
400`  CANO`  LKW`  0001`  `  3050`  `
400`  CANO`  LKW`  0001`  `  3100`  `
400`  CANO`  LKW`  0001`  `  7900`  `
400`  CANO`  LKW`  0001`  `  7920`  `
400`  CANO`  PRY`  0001`  `  7900`  `
400`  CANO`  PRY`  0001`  `  7920`  `
400`  CAPL`  BSX`  0001`  `  0710`  0000311100`  0000311100
400`  CAPL`  BSX`  0001`  `  0720`  0000311100`  0000311100
400`  CAPL`  BSX`  0001`  `  1210`  0000311100`  0000311100
400`  CAPL`  BSX`  0001`  `  3000`  0000311100`  0000311100
400`  CAPL`  BSX`  0001`  `  3001`  0000311100`  0000311100
400`  CAPL`  BSX`  0001`  `  3040`  0000311100`  0000311100
400`  CARU`  BSX`  0001`  `  7900`  0021000000`  0021000000
400`  CASE`  BSX`  0001`  `  3100`  0000145000`  0000145000
400`  CASE`  BSX`  0001`  `  7920`  0000145000`  0000145000
400`  CASE`  LKW`  0001`  `  3000`  `
400`  CASE`  LKW`  0001`  `  3001`  `
400`  CASE`  LKW`  0001`  `  3030`  `
400`  CASE`  LKW`  0001`  `  3031`  `
400`  CASE`  LKW`  0001`  `  3040`  `
400`  CASE`  LKW`  0001`  `  3050`  `
400`  CASE`  LKW`  0001`  `  3100`  `
400`  CASE`  LKW`  0001`  `  7900`  `
400`  CASE`  LKW`  0001`  `  7920`  `
400`  CASK`  EIN`  0001`  `  3000`  `
400`  CASK`  EIN`  0001`  `  3001`  `
400`  CASK`  EIN`  0001`  `  3030`  `
400`  CASK`  EIN`  0001`  `  3031`  `
400`  CASK`  EIN`  0001`  `  3040`  `
400`  CASK`  EIN`  0001`  `  3050`  `
400`  CASK`  EIN`  0001`  `  3100`  `
400`  CASK`  EKG`  0001`  `  3000`  `
400`  CASK`  EKG`  0001`  `  3001`  `
400`  CASK`  EKG`  0001`  `  3030`  `
400`  CASK`  EKG`  0001`  `  3031`  `
400`  CASK`  EKG`  0001`  `  3040`  `
400`  CASK`  EKG`  0001`  `  3050`  `
400`  CASK`  EKG`  0001`  `  3100`  `
400`  CATW`  BSV`  0001`  `  3000`  `
400`  CATW`  BSV`  0001`  `  3001`  `
400`  CATW`  BSV`  0001`  `  3030`  `
400`  CATW`  BSV`  0001`  `  3031`  `
400`  CATW`  BSV`  0001`  `  3040`  `
400`  CATW`  BSV`  0001`  `  3050`  `
400`  CATW`  BSV`  0001`  `  3100`  `
400`  CATW`  BSX`  0001`  `  3050`  `
400`  CATW`  EIN`  0001`  `  3000`  `
400`  CATW`  EIN`  0001`  `  3001`  `
400`  CATW`  EIN`  0001`  `  3030`  `
